coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +85.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +85.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +77.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +81.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +80.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +58.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.82 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        3236 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.1 13720 13340  19212
 0.7 63872 102940 108812
 0.9 74112 102940 108812
 1.7 142384 171300 177172
 1.7 142384 171300 177172
 1.7 142384 171300 177172
 2.0 166788 195588 201460
 2.5 207444 236112 241984
 3.1 251796 280464 286336
 3.6 291660 320460 326332
 4.1 329940 358740 364612
 4.6 374292 403092 408964
 5.2 416004 444804 450676
 5.7 456924 485724 491596
 6.2 500484 529284 535156
 6.7 539028 567828 573700
 7.3 583644 612312 618184
 7.8 625356 654024 659896
 8.3 670236 698904 704776
 8.9 711948 740748 746620
 9.4 752868 781668 787540
 9.8 785076 813744 819616
10.2 822828 851628 857500
10.8 864276 893076 898948
11.3 906780 935448 941320
11.8 949812 978480 984352
12.4 992580 1021248 1027120
12.9 1034292 1063092 1068964
13.3 1066500 1095300 1101172
13.8 1110324 1139124 1144996
14.4 1152036 1180704 1186576
14.9 1195860 1224660 1230532
15.4 1237572 1266372 1272244
16.0 1282980 1311648 1317520
16.5 1322052 1350720 1356592
17.1 1369308 1398108 1403980
17.6 1411020 1439688 1445560
18.1 1452468 1481136 1487008
18.6 1487316 1516116 1521988
19.0 1519260 1548060 1553932
19.4 1550940 1579608 1585480
19.8 1590804 1619472 1625344
20.4 1634892 1663560 1669432
21.0 1679244 1708044 1713916
21.5 1723860 1752528 1758400
22.1 1767420 1796088 1801960
22.6 1808604 1837272 1843144
23.1 1850052 1878852 1884724
23.6 1893084 1921752 1927624
24.1 1934268 1963068 1968940
24.7 1977300 2005968 2011840
25.2 2019804 2048472 2054344
25.7 2062308 2091108 2096980
26.3 2104020 2132820 2138692
26.8 2145996 2174664 2180536
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.1 2173716 2202516 2208388
27.2 2182284 2210952 2216824
27.4 2194764 2235912 2241784
27.7 2222228 2269192 2275064
28.1 2248908 2335752 2341624
28.4 2277948 2335752 2341624
28.8 2305668 2335752 2341624
29.1 2333948 2468872 2474744
29.5 2359028 2468872 2474744
29.8 2388860 2468872 2474744
30.2 2415260 2468872 2474744
30.5 2442780 2735112 2740984
30.9 2472612 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
31.1 2486604 2735112 2740984
