coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +68.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +68.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +66.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +67.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +68.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +56.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          13.14 V  
curr1:       460.00 mA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        3229 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  7068  3740   9612
 0.7 62284 102940 108812
 0.8 68428 102940 108812
 1.6 131960 166420 172292
 1.6 131960 166420 172292
 1.6 131960 166420 172292
 1.9 157892 192556 198428
 2.4 195644 230176 236048
 2.9 233660 268324 274196
 3.4 276164 310828 316700
 3.9 318404 352936 358808
 4.5 361172 395572 401444
 5.0 403148 437680 443552
 5.5 441164 475828 481700
 6.0 483404 517936 523808
 6.5 523796 558196 564068
 7.0 562076 596608 602480
 7.5 603524 637924 643796
 8.0 643652 678184 684056
 8.5 686684 721216 727088
 9.1 730508 764908 770780
 9.6 773804 808336 814208
10.1 812612 847012 852884
10.6 851420 886084 891956
11.1 889964 924496 930368
11.6 928772 963304 969176
12.1 967316 1001848 1007720
12.5 1006124 1040656 1046528
13.0 1044932 1079596 1085468
13.5 1086908 1121308 1127180
14.1 1128356 1162888 1168760
14.6 1167428 1201828 1207700
15.0 1206236 1240900 1246772
15.5 1245044 1279708 1285580
16.0 1284644 1319308 1325180
16.5 1325564 1360228 1366100
17.0 1365164 1399696 1405568
17.5 1406876 1441276 1447148
18.0 1445948 1480480 1486352
18.5 1485548 1520212 1526084
19.1 1529108 1563640 1569512
19.6 1570028 1604428 1610300
20.1 1609892 1644556 1650428
20.6 1650548 1685080 1690952
21.1 1691996 1726660 1732532
21.6 1731860 1766524 1772396
22.1 1771196 1805728 1811600
22.6 1811588 1846252 1852124
23.1 1850924 1885588 1891460
23.7 1895276 1929808 1935680
24.2 1939364 1973764 1979636
24.7 1977908 2012440 2018312
25.2 2020412 2055076 2060948
25.8 2063972 2098504 2104376
26.3 2107796 2142328 2148200
26.9 2150564 2185228 2191100
27.0 2162972 2197636 2203508
27.0 2162972 2197636 2203508
27.0 2162972 2197636 2203508
27.0 2162972 2197636 2203508
27.0 2162972 2197636 2203508
27.0 2162972 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.0 2163336 2197636 2203508
27.2 2175608 2214392 2220264
27.5 2202680 2264312 2270184
27.8 2227496 2264312 2270184
28.1 2252064 2330872 2336744
28.4 2276616 2330872 2336744
28.8 2303312 2463992 2469864
29.1 2330240 2463992 2469864
29.4 2357696 2463992 2469864
29.8 2382776 2463992 2469864
30.1 2408912 2463992 2469864
30.4 2435112 2730232 2736104
30.7 2461512 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
30.9 2476032 2730232 2736104
