coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +54.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +54.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +49.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +50.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +49.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +45.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.76 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2706 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ CMD
 0.0  3812   624   6496
 0.0  3836   624   6496
 0.0  3840   624   6496
 0.0  3796   624   6496
 0.0  3932   624   6496
 0.0  3728   624   6496
 0.0  3732   624   6496
 0.0  3816   624   6496
 0.0  3760   624   6496
 0.0  3848   624   6496
 0.0  3796   624   6496
 0.0  3832   624   6496
 0.0  3976   624   6496
 0.0  3840   624   6496
 0.0  3784   624   6496
 0.0  3732   624   6496
 0.0  3708   624   6496
 0.0  3804   624   6496
 0.0  3772   624   6496
 0.0  3744   624   6496
 0.0  3880   624   6496
 0.0  3848   624   6496
 0.0  3752   624   6496
 0.0  3800   624   6496
 0.0  3924   624   6496
 0.0  3732   624   6496
 0.0  3880   624   6496
 0.0  3712   624   6496
 0.0  3816   624   6496
 0.0  3776   624   6496
 0.0  3816   624   6496
 0.0  3820   624   6496
 0.0  3812   624   6496
 0.0  3776   624   6496
 0.0  3812   624   6496
 0.0  3816   624   6496
 0.0  3784   624   6496
 0.0  3860   624   6496
 0.0  3816   624   6496
 0.0  3908   624   6496
 0.0  3876   624   6496
 0.0  3852   624   6496
 0.0  3664   624   6496
 0.0  3844   624   6496
 0.0  3760   624   6496
