coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +69.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +65.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +64.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +69.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +65.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +54.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.74 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2679 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ CMD
 0.0     0     0      0
 0.0  5896  2472   8344
 0.0  5832  2472   8344
 0.0  5972  2472   8344
 0.0  5892  2472   8344
 0.0  5976  2472   8344
 0.0  5784  2472   8344
 0.0     0     0      0
 0.0  5840  2472   8344
 0.0  5852  2472   8344
 0.0  5908  2472   8344
 0.0     0     0      0
 0.0  5972  2472   8344
 0.0  5832  2472   8344
 0.0  5888  2472   8344
 0.0     0     0      0
 0.0  5916  2472   8344
 0.0  5864  2472   8344
 0.0     0     0      0
 0.0  5916  2472   8344
 0.0  5904  2472   8344
 0.0  5984  2472   8344
 0.0  5824  2472   8344
 0.0     0     0      0
 0.0     0     0      0
 0.0  5920  2472   8344
 0.0  5876  2472   8344
 0.0     0     0      0
 0.0  5996  2472   8344
 0.0  5976  2472   8344
 0.0  5852  2472   8344
 0.0  5876  2472   8344
 0.0  5992  2472   8344
 0.0  5932  2472   8344
 0.0     0     0      0
 0.0     0     0      0
 0.0  5864  2472   8344
 0.0     0     0      0
 0.0     0     0      0
 0.0     0     0      0
 0.0     0     0      0
 0.0  5892  2472   8344
 0.0     0     0      0
 0.0  5912  2472   8344
 0.0     0     0      0
 0.0  5956  2472   8344
 0.0     0     0      0
 0.0  5872  2472   8344
 0.0     0     0      0
 0.0  5968  2472   8344
 0.0  5996  2472   8344
 0.0  5808  2472   8344
 0.0  5876  2472   8344
 0.0  5784  2472   8344
 0.0  5968  2472   8344
 0.0  5840  2472   8344
 0.0  5796  2472   8344
 0.0  5884  2472   8344
 0.0     0     0      0
 0.0  5932  2472   8344
 0.0  5856  2472   8344
 0.0     0     0      0
 0.0  5936  2472   8344
 0.0  5832  2472   8344
 0.0  5976  2472   8344
 0.0  5860  2472   8344
 0.0  5896  2472   8344
 0.0  5868  2472   8344
 0.0  5980  2472   8344
 0.0  5900  2472   8344
 0.0  5912  2472   8344
 0.0  5816  2472   8344
 0.0     0     0      0
 0.0  5864  2472   8344
 0.0  5892  2472   8344
 0.0  5872  2472   8344
 0.0     0     0      0
 0.0  5896  2472   8344
 0.0  5964  2472   8344
 0.0  5840  2472   8344
 0.0  5868  2472   8344
 0.0  5880  2472   8344
 0.0  5900  2472   8344
 0.0  5900  2472   8344
 0.0  5876  2472   8344
 0.0  5936  2472   8344
 0.0  5872  2472   8344
 0.0  5840  2472   8344
 0.0  5984  2472   8344
 0.0  5864  2472   8344
 0.0  5852  2472   8344
 0.0  5872  2472   8344
 0.0  5928  2472   8344
 0.0  5948  2472   8344
 0.0  5904  2472   8344
 0.0  5824  2472   8344
 0.0  5880  2472   8344
 0.0  5876  2472   8344
 0.0  5896  2472   8344
 0.0  5908  2472   8344
 0.0  5892  2472   8344
 0.0  5984  2472   8344
 0.0  5780  2472   8344
 0.0  5928  2472   8344
 0.0  5844  2472   8344
 0.0  5980  2472   8344
 0.0  5844  2472   8344
 0.0     0     0      0
 0.0  5904  2472   8344
 0.0     0     0      0
 0.0  5860  2472   8344
 0.0     0     0      0
 0.0  5856  2472   8344
 0.0  5896  2472   8344
 0.0     0     0      0
 0.0  5948  2472   8344
 0.0  5980  2472   8344
 0.0  5932  2472   8344
 0.0  5900  2472   8344
 0.0  5972  2472   8344
 0.0  5948  2472   8344
 0.0  5792  2472   8344
 0.0  5860  2472   8344
 0.0  5780  2472   8344
 0.0  5868  2472   8344
 0.0  5872  2472   8344
 0.0  5820  2472   8344
 0.0  5856  2472   8344
 0.0  5836  2472   8344
 0.0  5964  2472   8344
 0.0  5828  2472   8344
 0.0  5780  2472   8344
 0.0  5860  2472   8344
 0.0  5884  2472   8344
 0.0  5936  2472   8344
 0.0  5916  2472   8344
 0.0  5952  2472   8344
 0.0  5968  2472   8344
 0.0  5932  2472   8344
 0.0  5924  2472   8344
 0.0  5864  2472   8344
 0.0  5880  2472   8344
 0.0  5796  2472   8344
 0.0  5812  2472   8344
 0.0     0     0      0
 0.0  5900  2472   8344
 0.0     0     0      0
 0.0  5880  2472   8344
 0.0  5840  2472   8344
 0.0  5864  2472   8344
