coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +57.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +57.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +55.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +56.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +57.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +54.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.76 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:           0 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ CMD
 0.0  3976   624   6496
 0.0  3812   624   6496
 0.0  3804   624   6496
 0.0  3816   624   6496
 0.0  3660   624   6496
 0.0  3708   624   6496
 0.0  3864   624   6496
 0.0  3832   624   6496
 0.0  3832   624   6496
 0.0  3900   624   6496
 0.0  3732   624   6496
 0.0  3680   624   6496
 0.0  3816   624   6496
 0.0  3864   624   6496
 0.0  3852   624   6496
 0.0  3744   624   6496
 0.0  3716   624   6496
 0.0  3868   624   6496
 0.0  3760   624   6496
 0.0  3780   624   6496
 0.0  3872   624   6496
 0.0  3840   624   6496
 0.0  3832   624   6496
 0.0  3780   624   6496
 0.0  3680   624   6496
 0.0  3844   624   6496
 0.0  3840   624   6496
 0.0  3856   624   6496
 0.0  3716   624   6496
 0.0  3748   624   6496
 0.0  3848   624   6496
