N,real time (s),user time (s),sys time (s),RAM percent,số nhân CPU,avg CPU percent,Maximun RSS (kbytes),temp ,temp core 0,temp core 1,temp core 2,temp core 3
3000000,2.98,2.49,0.12,0.1,1,87,12700,46,45,45,45,45
7000000,7.07,6.14,0.19,0.1,1,89,12708,44,43,42,44,43
10000000,10.09,9.01,0.27,0.1,1,92,12904,47,44,45,45,47
14000000,14.58,12.96,0.41,0.1,1,91,12840,45,45,43,45,44
20000000,20.39,18.32,0.68,0.1,1,93,12864,47,47,45,46,46
25000000,26.72,24.04,0.74,0.1,1,92,12876,47,46,46,47,47
30000000,32.7,29.26,1.04,0.1,1,92,12956,51,48,51,48,48
35000000,38.76,34.84,1.08,0.1,1,92,12912,43,42,41,42,43
40000000,44.5,39.64,1.41,0.1,1,92,12880,44,43,43,44,43
45000000,49.35,44.25,1.46,0.1,1,92,12988,47,47,46,47,46
50000000,54.23,50.12,1.j97,0.1,1,96,12920,47,46,47,46,46
55000000,62.45,56.54,1.95,0.1,1,93,13012,46,46,45,45,45
60000000,67.8,60.84,2.6,0.1,1,93,12944,46,46,45,46,45
65000000,74.2,66.54,2.57,0.1,1,93,12936,46,46,45,46,47
70000000,81.35,72.98,2.66,0.1,1,92,12856,46,45,45,46,45
75000000,87.48,78.35,2.76,0.1,1,92,13012,46,45,45,46,45
80000000,91.81,82.41,3.18,0.1,1,93,13024,45,45,44,45,44
85000000,98.32,88.19,3.39,0.1,1,93,13084,45,45,45,44,44
90000000,104.35,93.47,3.73,0.1,1,93,13048,47,45,47,45,45
95000000,112.8,101.43,3.78,0.1,1,93,12908,43,43,43,43,43
100000000,122.31,109.4,3.82,0.1,1,92,13116,45,44,45,45,44
150000000,186.58,166.9,6.25,0.1,1,92,13220,46,45,44,45,45
200000000,259.33,228.37,8.06,0.1,1,91,13340,47,45,47,45,44
250000000,382.68,285.2,9.98,0.1,1,91,13356,45,44,44,45,44
300000000,394.01,347.91,12.53,0.1,1,91,13504,44,44,44,44,44
350000000,459.61,400.54,14.95,0.1,1,90,13676,45,44,44,44,44
400000000,539,469.75,17.25,0.1,1,90,13660,45,45,45,45,45
450000000,601.63,523.67,20.25,0.1,1,90,13864,45,45,44,44,43
500000000,668.78,584.21,22.75,0.1,1,90,13880,57,46,44,44,57
550000000,751.79,651.59,25.91,0.1,1,90,14096,45,44,45,45,44
600000000,822.09,717.62,27.23,0.1,1,90,14184,44,43,42,44,43
650000000,900,778.54,30.72,0.1,1,89,14264,45,44,44,45,44
700000000,974.98,842.41,32.39,0.1,1,89,14344,44,44,43,43,43
750000000,1113.93,939.16,43.02,0.1,1,88,14516,44,43,43,44,43
800000000,1170.3,1000.2,43.38,0.1,1,89,14468,44,44,43,44,44
850000000,1264.4,1060.91,47.92,0.1,1,87,14720,44,44,42,43,43
900000000,1347.25,1131.7,48.96,0.1,1,87,14884,44,44,43,43,43
950000000,1406.48,1188.29,51.86,0.1,1,88,14804,45,44,43,44,44
1000000000,1484.46,1253.71,53.87,0.1,1,88,15064,44,44,43,43,43
