coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +76.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +76.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +76.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +74.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +75.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +61.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.60 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        3926 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 1.4 116032 973192 984192
 2.1 169280 973192 984192
 2.7 218432 973192 984192
 3.3 271680 973192 984192
 4.0 322880 973192 984192
 4.6 372032 989576 1000584
 4.7 380224 997900 1074316
 4.8 386368 997900 1074316
 4.8 388416 997900 1074316
 4.9 394560 997900 1074316
 4.9 394560 997900 1074316
 4.9 394560 997900 1074316
 4.9 396608 997900 1074316
 4.9 396608 997900 1074316
 4.9 398656 997900 1074316
 5.0 400704 997900 1074316
 5.0 404800 997900 1074316
 5.0 404800 997900 1074316
 5.0 406848 997900 1074316
 5.0 406848 997900 1074316
 5.1 408896 997900 1074316
 5.1 410944 997900 1074316
 5.1 410944 997900 1074316
 5.1 412992 997900 1074316
 5.1 412992 997900 1074316
 5.1 412992 997900 1074316
 5.1 412992 997900 1074316
 5.2 417088 997900 1074316
 5.2 421184 997900 1074316
 5.2 421184 997900 1074316
 5.3 425280 997900 1074316
 5.3 425280 997900 1074316
 5.3 425280 997900 1074316
 5.3 429376 997900 1074316
 5.3 429376 997900 1074316
 5.3 429376 997900 1074316
 5.3 429376 997900 1074316
 5.4 433472 997900 1074316
 5.4 433472 997900 1074316
 5.4 435520 997900 1074316
 5.4 437568 997900 1074316
 5.4 437568 997900 1074316
 5.4 439616 997900 1074316
 5.5 443712 997900 1074316
 5.5 443712 997900 1074316
 5.5 443712 997900 1074316
 5.5 445760 997900 1074316
 5.5 445760 997900 1074316
 5.5 445760 997900 1074316
 5.6 447808 997900 1074316
 5.6 447808 997900 1074316
 5.6 447808 997900 1074316
 5.6 449856 997900 1074316
 5.6 449856 997900 1074316
 5.6 449856 997900 1074316
 5.6 449856 997900 1074316
 5.6 451904 997900 1074316
 5.7 460096 997900 1074316
 5.7 462144 997900 1074316
 5.8 464192 997900 1074316
 5.8 464192 997900 1074316
 5.8 464192 997900 1074316
 5.8 470336 997900 1074316
 5.8 470336 997900 1074316
 5.8 470336 997900 1074316
 5.8 470336 997900 1074316
 5.8 470336 997900 1074316
 5.9 474432 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 5.9 478528 997900 1074316
 6.0 482624 997900 1074316
 6.0 486720 997900 1074316
 6.1 490816 997900 1074316
 6.1 490816 997900 1074316
 6.1 490816 997900 1074316
 6.1 494912 997900 1074316
 6.2 496960 997900 1074316
 6.2 499008 997900 1074316
 6.2 501056 997900 1074316
 6.2 501056 997900 1074316
 6.2 501056 997900 1074316
 6.2 501056 997900 1074316
 6.2 503104 997900 1074316
 6.3 505152 997900 1074316
 6.3 505152 997900 1074316
 6.3 505152 997900 1074316
 6.3 509248 997900 1074316
 6.3 509248 997900 1074316
 6.3 509248 997900 1074316
 6.3 509248 997900 1074316
 6.3 509248 997900 1074316
 6.3 509248 997900 1074316
 6.3 509248 997900 1074316
 6.4 513344 997900 1074316
 6.4 513344 997900 1074316
 6.4 515392 997900 1074316
 6.4 517440 997900 1074316
 6.4 517440 997900 1074316
 6.4 517440 997900 1074316
 6.5 521536 997900 1074316
 6.5 527680 997900 1074316
 6.6 533824 997900 1074316
 6.7 539076 997900 1074316
 6.8 546204 997900 1074316
 6.8 549900 997900 1074316
 6.9 554652 997900 1074316
 6.9 559404 997900 1074316
 7.0 565212 997900 1074316
 7.1 571284 997900 1074316
 7.1 574980 997900 1074316
 7.2 578676 997900 1074316
 7.3 585276 997900 1074316
 7.4 595232 997900 1074316
 7.5 604736 997900 1074316
 7.6 614240 997900 1074316
 7.7 623664 997900 1074316
 7.9 632904 997900 1074316
 8.0 641616 997900 1074316
 8.1 652968 997900 1074316
 8.2 663000 997900 1074316
 8.4 673296 997900 1074316
 8.4 676992 997900 1074316
 8.5 679896 997900 1074316
 8.5 683064 997900 1074316
 8.5 685968 997900 1074316
 8.6 691248 997900 1074316
 8.6 693888 997900 1074316
 8.7 698640 997900 1074316
 8.7 701016 997900 1074316
 8.8 706560 997900 1074316
 8.9 713688 997900 1074316
 9.0 720816 997900 1074316
 9.1 727680 997900 1074316
 9.1 734808 997900 1074316
 9.2 741672 997900 1074316
 9.3 748272 997900 1074316
 9.4 752496 997900 1074316
 9.4 754608 997900 1074316
 9.4 754608 997900 1074316
 9.4 754608 997900 1074316
 9.4 754608 997900 1074316
 9.4 754608 997900 1074316
 9.4 754608 997900 1074316
 9.4 758832 997900 1074316
 9.5 766224 997900 1074316
 9.6 771768 997900 1074316
 9.6 772032 997900 1074316
 9.6 772032 997900 1074316
 9.6 772032 997900 1074316
 9.7 776784 997900 1074316
 9.7 780744 997900 1074316
 9.7 780744 997900 1074316
 9.7 780744 997900 1074316
 9.7 780744 997900 1074316
 9.8 785232 997900 1074316
 9.8 786288 997900 1074316
 9.8 786288 997900 1074316
 9.8 790248 997900 1074316
 9.9 794736 997900 1074316
 9.9 794736 997900 1074316
 9.9 794736 997900 1074316
 9.9 794736 997900 1074316
 9.9 798432 997900 1074316
10.0 799752 997900 1074316
10.0 799752 997900 1074316
10.0 803712 997900 1074316
10.1 811896 997900 1074316
10.1 814536 997900 1074316
10.1 814536 997900 1074316
10.1 814536 997900 1074316
10.2 819552 997900 1074316
10.3 824304 997900 1074316
10.3 824304 997900 1074316
10.3 827736 997900 1074316
10.4 834336 997900 1074316
10.4 834864 997900 1074316
10.4 835656 997900 1074316
10.5 842784 997900 1074316
10.5 844368 997900 1074316
10.5 844368 997900 1074316
10.6 852024 997900 1074316
10.6 854928 997900 1074316
10.6 854928 997900 1074316
10.7 860208 997900 1074316
10.8 864696 997900 1074316
10.8 864696 997900 1074316
10.8 867600 997900 1074316
10.9 873144 997900 1074316
10.9 877104 997900 1074316
10.9 877104 997900 1074316
10.9 877104 997900 1074316
10.9 878688 997900 1074316
11.0 881856 997900 1074316
11.0 884232 997900 1074316
11.0 884232 997900 1074316
11.0 884232 997900 1074316
11.0 884232 997900 1074316
11.1 888984 997900 1074316
11.1 892152 997900 1074316
11.1 892152 997900 1074316
11.1 892152 997900 1074316
11.1 892152 997900 1074316
11.2 897168 997900 1074316
11.2 898488 997900 1074316
11.2 898488 997900 1074316
11.2 901656 997900 1074316
11.2 902712 997900 1074316
11.2 902712 997900 1074316
11.3 906144 997900 1074316
11.3 909312 997900 1074316
11.4 913536 997900 1074316
11.4 913536 997900 1074316
11.4 913536 997900 1074316
11.4 914328 997900 1074316
11.5 921192 997900 1074316
11.6 928584 997900 1074316
11.6 930168 997900 1074316
11.6 930168 997900 1074316
11.6 930168 997900 1074316
11.7 936504 997900 1074316
11.8 943632 997900 1074316
11.8 948912 997900 1074316
11.8 948912 997900 1074316
11.8 948912 997900 1074316
11.8 951024 997900 1074316
11.9 958944 997900 1074316
12.0 964752 997900 1074316
12.0 964752 997900 1074316
12.0 964752 997900 1074316
12.1 970560 997900 1074316
12.1 974784 997900 1074316
12.1 974784 997900 1074316
12.2 975576 997900 1074316
12.2 975576 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
12.2 976220 997900 1074316
