buffer(MB), time (s), rss (kB), vsize (kB)
50,23.48, 55500,152908
100,24.15, 106104,269644
150,25.13, 157228,320768
200,24.52, 208396,306376
250,25.73, 259680,357576
300,26.67, 310744,408776
350,24.4, 361828,459968
400,24.07, 414780,511116
450,24.64, 464280,562324
500,25.21, 515488,613552
550,25.23, 566756,664732
600,27.08, 618280,715924
650,25.98, 670608,767144
700,25.08, 720376,883876
750,25.51, 771540,935060
800,25.84, 822736,920736
850,25.47, 873872,1.03746e+06
900,25.8, 925176,1.08867e+06
950,26.73, 976220,1.07433e+06
1000,26.37, 1027536,1.19107e+06
