size (record), time (s), rss (kB), vsize (kB)
1000000,0.61, 58480,113792
2000000,3.61, 105816,113796
3000000,4.93, 105744,113796
4000000,6.89, 105876,113796
5000000,8.03, 105900,113796
6000000,10.48, 105884,113804
7000000,12.1, 105816,113804
8000000,12.7, 105740,113808
9000000,14.16, 105728,113808
10000000,16.28, 105728,113796
11000000,19.91, 105704,113796
12000000,20.91, 105892,113812
13000000,23.47, 105904,113812
14000000,24.15, 105784,113820
15000000,24.52, 105852,113820
16000000,30.06, 105884,113808
17000000,30.37, 105860,113808
18000000,30.79, 105860,113828
19000000,31.98, 105732,113828
20000000,34.89, 105768,113820
21000000,36.47, 105956,113820
22000000,37.51, 105740,113820
23000000,37.92, 105860,113820
24000000,39.14, 105780,113828
25000000,42.05, 105816,113812
26000000,43.96, 105844,113812
27000000,44.11, 105700,113808
28000000,45.86, 105712,113808
29000000,48.37, 105828,113852
30000000,50.84, 105908,113852
31000000,55.3, 105652,113852
32000000,57.35, 105840,113852
33000000,57.19, 105776,113852
34000000,59.25, 105844,113852
35000000,61.53, 105904,113852
36000000,64.06, 105860,113852
37000000,62.04, 105840,113852
38000000,65.99, 105864,113852
39000000,67.42, 105800,113852
40000000,69.52, 105956,113852
41000000,72.84, 105984,113852
42000000,73.02, 105896,113852
43000000,72.69, 105924,113852
44000000,76, 105904,113852
45000000,76.22, 105708,113852
46000000,79.28, 105820,113852
47000000,77.96, 105760,113852
48000000,81.5, 105840,113852
49000000,81.16, 105988,113852
50000000,83.2, 105676,113852
