radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2711 RPM

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.88 V  
curr1:       1000.00 uA 

coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +46.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +45.0°C  

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%CPU %MEM     ELAPSED
 0.0  0.5       00:00
47.0  5.1       00:01
 267  6.2       00:02
 338  7.2       00:03
 264  9.5       00:05
 250 11.4       00:06
 238 13.0       00:07
 212 13.1       00:08
 218 13.1       00:09
 240 13.1       00:10
 234 13.1       00:12
 233 13.1       00:13
 229 13.1       00:14
 218 13.1       00:15
 215 13.1       00:16
 229 13.1       00:17
 240 13.1       00:18
 240 13.1       00:19
 226 13.1       00:21
 219 13.1       00:22
 222 13.1       00:23
 232 13.1       00:24
 238 13.1       00:25
 238 13.1       00:26
 234 13.1       00:27
 227 13.1       00:28
 222 13.1       00:30
 230 13.1       00:31
 234 13.1       00:32
 233 13.1       00:33
 231 13.1       00:34
 226 13.1       00:35
 232 13.1       00:36
 231 13.1       00:38
 234 13.1       00:39
 233 13.1       00:40
 231 13.1       00:41
 226 13.1       00:42
 232 13.1       00:43
 233 13.1       00:45
 233 13.1       00:46
 232 13.1       00:47
 229 13.1       00:48
 229 13.1       00:49
 233 13.1       00:50
 237 13.1       00:51
 233 13.1       00:53
 231 13.1       00:54
 228 13.1       00:55
 230 13.1       00:56
 234 13.1       00:57
 235 13.1       00:58
 235 13.1       00:59
 234 13.1       01:00
 227 13.1       01:02
 229 13.1       01:03
 232 13.1       01:04
 234 13.1       01:05
 234 13.1       01:06
 233 13.1       01:07
 230 13.1       01:08
 232 13.1       01:09
 232 13.1       01:11
 233 13.1       01:12
 233 13.1       01:13
 232 13.1       01:14
 230 13.1       01:15
 233 13.1       01:16
 233 13.1       01:18
 234 13.1       01:19
 234 13.1       01:20
 232 13.1       01:21
 231 13.1       01:22
 234 13.1       01:23
 237 13.1       01:24
 234 13.1       01:26
 233 13.1       01:27
 232 13.1       01:28
 232 13.1       01:29
 235 13.1       01:30
 236 13.1       01:31
 236 13.1       01:32
 233 13.1       01:34
 231 13.1       01:35
 232 13.1       01:36
 234 13.1       01:37
 236 13.1       01:38
 235 13.1       01:39
 235 13.1       01:40
 231 13.1       01:42
 232 13.1       01:43
 234 13.1       01:44
 235 13.1       01:45
 235 13.1       01:46
 234 13.1       01:47
 232 13.1       01:48
 233 13.1       01:50
 235 13.1       01:51
 236 13.1       01:52
 236 13.1       01:53
 235 13.1       01:54
 234 13.1       01:55
 233 13.1       01:57
 235 13.1       01:58
 236 13.1       01:59
 236 13.1       02:00
 235 13.1       02:01
 233 13.1       02:02
 234 13.1       02:03
 236 13.1       02:04
 235 13.1       02:06
 235 13.1       02:07
 234 13.1       02:08
 233 13.1       02:09
 235 13.1       02:10
 236 13.1       02:11
 237 13.1       02:12
 235 13.1       02:14
 234 13.1       02:15
 232 13.1       02:16
 234 13.1       02:17
 235 13.1       02:18
 236 13.1       02:19
 234 13.1       02:21
 233 13.1       02:22
 232 13.1       02:23
 234 13.1       02:24
 235 13.1       02:25
 235 13.1       02:26
 235 13.1       02:27
 232 13.1       02:29
 232 13.1       02:30
 234 13.1       02:31
 235 13.1       02:32
 235 13.1       02:33
 235 13.1       02:34
 234 13.1       02:35
 232 13.1       02:37
 234 13.1       02:38
 235 13.1       02:39
 235 13.1       02:40
 234 13.1       02:41
 233 13.1       02:42
 234 13.1       02:43
 234 13.1       02:45
 235 13.1       02:46
 234 13.1       02:47
 234 13.1       02:48
 233 13.1       02:49
 234 13.1       02:50
 234 13.1       02:52
 234 13.1       02:53
 234 13.1       02:54
 234 13.1       02:55
 233 13.1       02:56
 235 13.1       02:57
 235 13.1       02:58
 235 13.1       02:59
 234 13.1       03:01
 233 13.1       03:02
 233 13.1       03:03
 235 13.1       03:04
 235 13.1       03:05
 235 13.1       03:06
 234 13.1       03:08
 233 13.1       03:09
 234 13.1       03:10
 235 13.1       03:11
 236 13.1       03:12
 235 13.1       03:13
 235 13.1       03:14
 233 13.1       03:16
 233 13.1       03:17
 235 13.1       03:18
 235 13.1       03:19
 235 13.1       03:20
 235 13.1       03:21
 234 13.1       03:22
 232 13.1       03:24
 233 13.1       03:25
 234 13.1       03:26
 234 13.1       03:27
 234 13.1       03:28
 233 13.1       03:29
 234 13.1       03:30
 234 13.1       03:32
 234 13.1       03:33
 234 13.1       03:34
 234 13.1       03:35
 233 13.1       03:36
 233 13.1       03:37
 233 13.1       03:39
 234 13.1       03:40
 234 13.1       03:41
 234 13.1       03:42
 233 13.1       03:43
 234 13.1       03:44
 235 13.1       03:45
 234 13.1       03:47
 234 13.1       03:48
 234 13.1       03:49
 233 13.1       03:50
 233 13.1       03:51
 234 13.1       03:52
 235 13.1       03:53
 234 13.1       03:55
 233 13.1       03:56
 232 13.1       03:57
 233 13.1       03:58
 234 13.1       03:59
 234 13.1       04:00
 234 13.1       04:01
 234 13.1       04:02
 232 13.1       04:04
 233 13.1       04:05
 234 13.1       04:06
 234 13.1       04:07
 234 13.1       04:08
 233 13.1       04:09
 232 13.1       04:11
 233 13.1       04:12
 234 13.1       04:13
 234 13.1       04:14
 234 13.1       04:15
 233 13.1       04:16
 233 13.1       04:17
 233 13.1       04:19
 234 13.1       04:20
 234 13.1       04:21
 233 13.1       04:22
 233 13.1       04:23
 233 13.1       04:24
 234 13.1       04:25
 234 13.1       04:27
 233 13.1       04:28
 233 13.1       04:29
 233 13.1       04:30
 233 13.1       04:31
 234 13.1       04:32
 234 13.1       04:33
 234 13.1       04:34
 233 13.1       04:36
 232 13.1       04:37
 233 13.1       04:38
 234 13.1       04:39
 234 13.1       04:40
 234 13.1       04:41
 233 13.1       04:42
 233 13.1       04:44
 234 13.1       04:45
 234 13.1       04:46
 234 13.1       04:47
 234 13.1       04:48
 233 13.1       04:49
 233 13.1       04:51
 234 13.1       04:52
 234 13.1       04:53
 234 13.1       04:54
 234 13.1       04:55
 233 13.1       04:56
