coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +66.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +58.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +60.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +66.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +60.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +52.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.81 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        3156 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  2176   424   8636
 0.0  3948   752   8964
 0.0  4888   884   9096
 0.0  4888  9076  17292
 0.0  5792  9188  17404
 0.0  5792 50676 320528
 0.0  6172 50808 320660
 0.1  8020 52788 322640
 0.1  9868 54768 324620
 0.1 11980 56748 326600
 0.1 13828 58728 328580
 0.1 15940 60708 330560
 0.2 18052 62688 332540
 0.2 19900 64668 334520
 0.2 21748 66648 336500
 0.2 23860 68628 338480
 0.3 25708 70608 340460
 0.3 27820 72588 342440
 0.3 29668 74568 344420
 0.3 31780 76548 346400
 0.4 33628 78528 348380
 0.4 35740 80508 350360
 0.4 37852 82488 352340
 0.4 39700 84468 354320
 0.5 41812 86580 356432
 0.5 43660 88560 358412
 0.5 45772 90540 360392
 0.5 47620 92520 362372
 0.6 49732 94500 364352
 0.6 51844 96612 366464
 0.6 53692 98460 368312
 0.6 55804 100440 370292
 0.7 57652 102552 372404
 0.7 59764 104532 374384
 0.7 61612 106512 376364
 0.7 63724 108492 378344
 0.8 65836 110472 380324
 0.8 67684 112452 382304
 0.8 69532 114432 384284
 0.8 71644 116412 386264
 0.9 73756 118524 388376
 0.9 75604 120504 390356
 0.9 77716 122484 392336
 0.9 79564 124464 394316
 1.0 81676 126444 396296
 1.0 83524 128424 398276
 1.0 85636 130404 400256
 1.0 87484 132384 402236
 1.1 89596 134364 404216
 1.1 91708 136344 406196
 1.1 93556 138456 408308
 1.1 95668 140436 410288
 1.2 98304 142872 412268
 1.2 99096 143920 412400
 1.2 100152 144796 412400
 1.2 100944 145704 412400
 1.2 101736 146628 412400
 1.2 102792 147500 412400
 1.2 103848 148608 412400
 1.3 104640 149472 412400
 1.3 105432 150304 412400
 1.3 106488 151224 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 107016 151772 412400
 1.3 108864 153752 414380
 1.3 110976 155600 416228
 1.4 112824 157580 418208
 1.4 114672 159560 420188
 1.4 116784 161540 422168
 1.4 118632 163388 424016
 1.5 120480 165368 425996
 1.5 122592 167348 427976
 1.5 124440 169196 429824
 1.5 126288 171176 431804
 1.6 128400 173156 433784
 1.6 130244 175172 435500
 1.6 131828 176608 435764
 1.6 132620 177484 435764
 1.6 133412 178284 435764
 1.6 134204 179064 435764
 1.6 134996 179776 435764
 1.6 135788 180564 435764
 1.7 136580 181464 435764
 1.7 137372 182344 435764
 1.7 138428 183284 435764
 1.7 139220 184020 435764
 1.7 140012 184956 435764
 1.7 141332 186120 435764
 1.7 142124 186912 435764
 1.7 142916 187792 435764
 1.7 143708 188716 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 144500 189296 435764
 1.8 145292 190036 435764
 1.8 146348 191056 435764
 1.8 147140 192012 435764
 1.8 147932 192852 435764
 1.8 148724 193628 435764
 1.8 149516 194368 435764
 1.8 150308 195084 435764
 1.8 150836 195744 435764
 1.8 151628 196556 435764
 1.9 152156 197060 435764
 1.9 153212 198004 435764
 1.9 154004 198800 435764
 1.9 154796 199704 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 155588 200384 435764
 1.9 157700 202232 437612
 1.9 159548 204212 439592
 2.0 161396 206192 441572
 2.0 163508 208356 442892
 2.0 164564 209072 442892
 2.0 165356 209876 442892
 2.0 166148 210676 442892
 2.0 166412 211076 442892
