coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +60.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +60.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +55.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +55.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +57.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +49.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.81 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:           0 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  3952   752   8964
 0.0  4816   884   9096
 0.0  4816  9076  17292
 0.0  5928  9188  17404
 0.1  8232 50808 320660
 0.1 10080 52656 322508
 0.1 11928 54636 324488
 0.1 13776 56616 326468
 0.1 15624 58464 328316
 0.2 17736 60444 330296
 0.2 19584 62424 332276
 0.2 21696 64404 334256
 0.2 23544 66252 336104
 0.3 25392 68232 338084
 0.3 27504 70212 340064
 0.3 29352 72192 342044
 0.3 31464 74172 344024
 0.4 33312 76020 345872
 0.4 35160 78000 347852
 0.4 37272 79980 349832
 0.4 39120 81828 351680
 0.5 40968 83808 353660
 0.5 43080 85656 355508
 0.5 44928 87636 357488
 0.5 47040 89616 359468
 0.6 48888 91596 361448
 0.6 50736 93576 363428
 0.6 52848 95556 365408
 0.6 54696 97404 367256
 0.7 56808 99384 369236
 0.7 58656 101496 371348
 0.7 60768 103476 373328
 0.7 62616 105324 375176
 0.8 64728 107436 377288
 0.8 66576 109416 379268
 0.8 68688 111264 381116
 0.8 70536 113244 383096
 0.9 72648 115224 385076
 0.9 74496 117204 387056
 0.9 76344 119184 389036
 0.9 78456 121164 391016
 1.0 80304 123144 392996
 1.0 82416 125124 394976
 1.0 84264 127104 396956
 1.0 86376 129084 398936
 1.1 88488 131196 401048
 1.1 90336 133044 402896
 1.1 92448 135024 404876
 1.1 94296 137004 406856
 1.2 96144 138984 408836
 1.1 94512 139248 409100
 1.1 94512 139248 409100
 1.1 94512 139248 409100
 1.1 94512 139248 409100
 1.1 94512 139248 409100
 1.1 94512 139248 409100
 1.1 94512 139248 409100
 1.1 94512 139248 409100
 1.1 94512 139248 409100
 1.1 94776 139516 409368
 1.1 94836 139380 409232
 1.1 94928 122996 392840
 1.1 94860 122828 392672
