coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +50.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +50.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +49.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +48.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +48.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +45.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.81 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2700 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  2172   424   8632
 0.0  4940   752   8960
 0.0  5948 42500 312344
 0.0  5948 42632 312476
 0.0  6244 34420 304260
