coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +75.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +71.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +75.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +70.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +72.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +58.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.87 V  
curr1:            N/A  

dell_smm-virtual-0
Adapter: Virtual device
fan1:        4938 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  2240   424   8636
 0.0  3952   756   8968
 0.0  4816   888   9100
 0.0  4816  9080  17296
 0.1  8540 116872 452160
 0.1  8540 117004 517696
 0.1  8540 117016 517696
 0.1 10180 118864 650352
 0.1 12028 120844 652332
 0.1 14140 122956 654444
 0.2 16516 125200 656688
 0.2 18628 127312 658800
 0.2 20476 129292 660780
 0.2 22588 131404 662892
 0.3 24700 133516 665004
 0.3 26812 135628 667116
 0.3 28924 137740 669228
 0.3 31036 139852 671340
 0.4 32884 141700 673188
 0.4 34996 143812 675300
 0.4 37108 145924 677412
 0.4 39220 147904 679392
 0.5 41068 149884 681372
 0.5 43180 151996 683484
 0.5 45292 154108 685596
 0.5 47668 156352 687840
 0.6 49516 158332 689820
 0.6 51628 160444 691932
 0.6 54004 162688 694176
 0.6 55852 164668 696156
 0.7 57964 166780 698268
 0.7 60076 168892 700380
 0.7 62188 171004 702492
 0.8 64300 173116 704604
 0.8 66676 175492 706980
 0.8 68788 177472 708960
 0.8 70900 179716 711204
 0.9 73276 181960 713448
 0.9 75388 184072 715560
 0.9 77500 186184 717672
 0.9 79612 188296 719784
 1.0 81988 190672 722160
 1.0 83836 192652 724140
 1.0 86212 194896 726384
 1.1 88324 197140 728628
 1.1 90172 198856 730344
 1.1 92284 200968 732456
 1.1 94396 203080 734568
