coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +75.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +75.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +72.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +70.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +72.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +60.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.69 V  
curr1:            N/A  

dell_smm-virtual-0
Adapter: Virtual device
fan1:        3926 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  5896 42504 312320
 0.0  8688 116912 452168
 0.0  8688 122104 862880
 0.0  8688 122236 928416
 0.0  8688 122244 928416
 0.0 15400 124440 930528
 0.1 18076 126640 932508
 0.1 20488 128816 934488
 0.1 23164 131172 936600
 0.1 25900 133648 938844
 0.1 27256 134552 939504
 0.1 25944 134668 939504
 0.1 24824 134668 939504
 0.1 25392 134668 939504
 0.1 25956 134668 939504
 0.1 25956 134668 939504
 0.1 26580 134668 939504
 0.1 27144 134668 939504
 0.1 27708 134736 939504
 0.1 28272 134944 939504
 0.1 28896 135164 939504
 0.1 29460 135372 939504
 0.1 29460 135580 939504
 0.1 30024 135800 939504
 0.1 30588 136000 939504
 0.1 28496 136068 939504
 0.1 28496 136068 939504
 0.1 29240 136068 939504
 0.1 29804 136068 939504
 0.1 30368 136068 939504
 0.1 30992 136068 939504
 0.1 31556 136068 939504
 0.1 31556 136068 939504
 0.1 32120 136068 939504
 0.2 32684 136068 939504
 0.2 33308 136068 939504
 0.2 33308 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 33872 136068 939504
 0.2 37256 136068 939504
 0.2 37256 136068 939504
 0.2 37820 136068 939504
 0.2 38280 136120 939504
 0.2 38280 136120 939504
 0.2 34052 123528 926908
 0.2 34048 115336 918712
 0.2 34032 82568 885928
 0.2 34032 82776 886136
 0.1 21044 50008 840256
 0.1 21044 50008 840256
