coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +73.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +73.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +73.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +70.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +71.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +63.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.72 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        3949 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  2160   420   8600
 0.0  5932 42504 312320
 0.0  8668 116912 452168
 0.0  8668 132692 969592
 0.0  8668 132692 969592
 0.0  8668 132692 969592
 0.0  8668 132692 969592
 0.0  8668 132692 969592
 0.1 23236 132692 969592
 0.1 27552 134452 969592
 0.1 30888 136860 971572
 0.2 33564 139136 973684
 0.2 35676 141300 975664
 0.2 38352 143716 977908
 0.2 41028 146160 980152
 0.2 41780 146848 980680
 0.2 42404 147024 980680
 0.2 42968 147196 980680
 0.2 39476 147300 980680
 0.2 40220 147300 980680
 0.2 40784 147300 980680
 0.2 40784 147300 980680
 0.2 41408 147300 980680
 0.2 41972 147300 980680
 0.2 41972 147300 980680
 0.2 42536 147300 980680
 0.2 43100 147300 980680
 0.2 43100 147300 980680
 0.2 43724 147300 980680
 0.2 44288 147300 980680
 0.2 44852 147300 980680
 0.2 44852 147300 980680
 0.2 43196 147300 980680
 0.2 43196 147300 980680
 0.2 43940 147300 980680
 0.2 44564 147300 980680
 0.2 44564 147300 980680
 0.2 45128 147300 980680
 0.2 45692 147300 980680
 0.2 46256 147300 980680
 0.2 46256 147300 980680
 0.2 46880 147300 980680
 0.2 47444 147300 980680
 0.2 48008 147300 980680
 0.2 45872 147300 980680
 0.2 46616 147300 980680
 0.2 46616 147300 980680
 0.2 47180 147300 980680
 0.2 47804 147300 980680
 0.2 48368 147300 980680
 0.2 48368 147300 980680
 0.3 48932 147300 980680
 0.3 49496 147300 980680
 0.3 49496 147300 980680
 0.3 50120 147300 980680
 0.3 50684 147300 980680
 0.3 51248 147300 980680
 0.3 51812 147300 980680
 0.3 51812 147300 980680
 0.3 52436 147300 980680
 0.3 53000 147300 980680
 0.3 53564 147300 980680
 0.3 54128 147300 980680
 0.3 54128 147300 980680
 0.3 54752 147392 980680
 0.3 55316 147600 980680
 0.3 55880 147788 980680
 0.3 55880 147924 980680
 0.3 56444 148112 980680
 0.3 57068 148296 980680
