coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +86.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +86.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +72.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +73.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +77.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +60.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.87 V  
curr1:            N/A  

dell_smm-virtual-0
Adapter: Virtual device
fan1:        4101 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  2180   424   8636
 0.0  4872   756   8968
 0.0  5892 42636 312484
 0.1  8484 116908 452196
 0.1  8800 119588 974572
 0.1  8800 119588 974572
 0.1  8800 119588 974572
 0.1  8800 119588 974572
 0.1  8800 119588 974572
 0.1  8800 119588 974572
 0.1  8800 119588 974572
 0.1  9064 119588 974572
 0.1  9064 119724 979152
 0.1 11328 119936 979152
 0.1 11900 120236 979152
 0.1 12524 120528 979152
 0.1 13652 120884 979152
 0.1 14216 121244 979152
 0.1 14840 121544 979152
 0.1 15968 121880 979152
 0.2 16532 122216 979152
 0.2 17156 122552 979152
 0.2 17720 122792 979152
 0.2 17720 122796 979152
 0.2 16776 121304 977660
 0.2 16828 104920 961268
 0.1 15008 72152 928484
