coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +74.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +74.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +71.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +71.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +74.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +62.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.87 V  
curr1:       1000.00 uA 

dell_smm-virtual-0
Adapter: Virtual device
fan1:        4087 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  2112   424   8636
 0.0  3776   756   8968
 0.0  5812 42504 312352
 0.1  8396 116908 452196
 0.1  9044 131100 1025392
 0.1  9340 131232 1025524
 0.1  9340 131232 1025524
 0.1  9340 131232 1025524
 0.1  9340 131232 1025524
 0.1  9340 131232 1025524
 0.2 22380 131236 1025524
 0.2 22944 131420 1025524
 0.2 22944 131584 1025524
 0.2 23508 131744 1025524
 0.3 24132 131920 1025524
 0.3 24132 132080 1025524
 0.3 24696 132256 1025524
 0.3 25260 132440 1025524
 0.3 25824 132672 1025524
 0.3 26448 132868 1025524
 0.3 26448 133040 1025524
 0.3 27012 133252 1025524
 0.3 27576 133448 1025524
 0.3 28140 133632 1025524
 0.3 28140 133828 1025524
 0.3 26096 133920 1025524
 0.3 26840 133920 1025524
 0.3 26840 133920 1025524
 0.3 27404 133920 1025524
 0.3 27968 133920 1025524
 0.3 28592 133920 1025524
 0.3 28592 133920 1025524
 0.3 29156 133920 1025524
 0.3 29720 133920 1025524
 0.3 30284 133920 1025524
 0.3 28552 133920 1025524
 0.3 29296 133920 1025524
 0.3 29920 133920 1025524
 0.3 29920 133920 1025524
 0.3 30484 133920 1025524
 0.3 31048 133920 1025524
 0.3 31612 133920 1025524
 0.4 32236 133920 1025524
 0.4 32236 133920 1025524
 0.4 32800 133920 1025524
 0.3 31068 133920 1025524
 0.3 31812 133920 1025524
 0.4 32376 133920 1025524
 0.4 32940 133920 1025524
 0.4 33564 133920 1025524
 0.4 33564 133920 1025524
 0.4 34128 133920 1025524
 0.4 34692 133920 1025524
 0.4 35256 133920 1025524
 0.4 35880 133920 1025524
 0.4 36444 133920 1025524
 0.4 36444 133920 1025524
 0.4 37008 133920 1025524
 0.4 37572 133920 1025524
 0.4 38196 134060 1025524
 0.4 38760 134268 1025524
 0.4 38760 134456 1025524
 0.4 39324 134664 1025524
 0.4 39888 134872 1025524
 0.5 40512 135056 1025524
 0.5 41076 135264 1025524
 0.5 41640 135460 1025524
 0.4 37496 135460 1025524
 0.4 38240 135460 1025524
 0.4 38804 135460 1025524
 0.4 38804 135460 1025524
 0.4 39428 135460 1025524
 0.5 39992 135460 1025524
 0.5 40556 135460 1025524
 0.5 41120 135460 1025524
 0.5 41744 135460 1025524
 0.5 41744 135460 1025524
 0.5 42308 135460 1025524
 0.5 42872 135460 1025524
 0.5 43436 135460 1025524
 0.5 44060 135460 1025524
 0.5 44624 135460 1025524
 0.5 45188 135460 1025524
 0.5 45188 135460 1025524
 0.5 45752 135460 1025524
 0.5 46376 135460 1025524
 0.5 46940 135460 1025524
 0.5 46940 135460 1025524
 0.5 47504 135508 1025524
 0.5 43636 135692 1025524
 0.5 43636 135692 1025524
 0.5 44440 135692 1025524
 0.5 45004 135692 1025524
 0.5 45568 135692 1025524
 0.5 46192 135692 1025524
 0.5 46192 135692 1025524
 0.5 46756 135692 1025524
 0.5 47320 135692 1025524
 0.5 47884 135692 1025524
 0.6 48508 135692 1025524
 0.6 48508 135692 1025524
 0.6 49072 135692 1025524
 0.6 49636 135692 1025524
 0.6 50200 135692 1025524
 0.6 50824 135692 1025524
 0.6 50824 135692 1025524
 0.6 51388 135692 1025524
 0.6 51952 135692 1025524
 0.6 52516 135692 1025524
 0.6 53140 135692 1025524
 0.6 53704 135692 1025524
 0.6 49504 135692 1025524
 0.6 50248 135692 1025524
 0.6 50248 135692 1025524
 0.6 50812 135692 1025524
 0.6 51436 135692 1025524
 0.6 51436 135692 1025524
 0.6 52000 135692 1025524
 0.6 52564 135692 1025524
 0.6 53128 135692 1025524
 0.6 53752 135692 1025524
 0.6 53752 135692 1025524
 0.6 54316 135692 1025524
 0.6 54880 135692 1025524
 0.6 55444 135692 1025524
 0.7 56068 135692 1025524
 0.7 56068 135692 1025524
 0.7 56632 135692 1025524
 0.7 57196 135692 1025524
