size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,0.88, 17544,110536,5
200000,0.98, 28600,121760,44
300000,1.07, 39748,132592,5
400000,0.9, 50664,143668,5
500000,1.01, 61720,154756,5
600000,1.1, 72884,165856,44
700000,1.24, 83904,177068,44
800000,1.37, 94864,187888,5
900000,1.48, 105932,198988,5
1000000,1.61, 116884,210064,5
1100000,1.68, 127916,221152,44
1200000,1.8, 139168,232116,5
1300000,1.91, 150024,243196,5
1400000,2.02, 156956,249268,5
1500000,2.1, 168036,260492,5
1600000,2.3, 183260,276592,44
1700000,2.37, 194544,287552,44
1800000,2.78, 205300,298644,5
1900000,2.6, 203864,294948,44
2000000,2.61, 225448,313024,44
2100000,2.69, 232092,314344,44
2200000,2.78, 234980,313420,44
2300000,2.89, 237048,313948,44
2400000,3.44, 238544,314344,1
2500000,3, 250460,322528,44
2600000,3.31, 234528,310516,1
2700000,3.23, 241952,312364,44
2800000,3.4, 238468,314212,5
2900000,3.53, 236700,312764,5
3000000,3.57, 247308,314740,44
3100000,3.71, 253240,318960,44
3200000,3.8, 253784,314740,44
3300000,3.84, 257588,315532,5
3400000,3.98, 255248,314740,1
3500000,4.1, 256076,314740,44
3600000,4.18, 263076,319360,44
3700000,4.36, 258136,315268,1
3800000,4.43, 262428,321076,5
3900000,4.5, 267704,314476,5
4000000,4.57, 268392,327012,5
4100000,4.69, 267612,314212,5
4200000,4.76, 279712,330316,44
4300000,4.95, 269452,313024,5
4400000,5.05, 270296,313816,44
4500000,5.21, 290164,325832,44
4600000,5.12, 281776,315664,5
4700000,5.24, 299380,337440,44
4800000,5.5, 282376,314212,44
4900000,5.42, 299592,335996,5
5000000,5.63, 284624,315400,5
5100000,5.75, 279492,312628,1
5200000,5.94, 284064,314080,44
5300000,5.97, 283800,314740,44
5400000,6.01, 312760,349992,44
5500000,6.26, 287356,379072,44
5600000,6.3, 328672,417236,5
5700000,6.34, 299588,387024,5
5800000,6.36, 339564,418556,44
5900000,6.57, 337792,416972,44
6000000,6.64, 313776,391348,5
6100000,6.91, 324520,407596,44
6200000,7.33, 331432,416068,44
6300000,7.5, 301340,371816,5
6400000,7.2, 306072,384900,5
6500000,7.28, 335824,413960,44
6600000,7.31, 312856,389488,5
6700000,7.56, 315532,378824,44
6800000,6.87, 359208,424104,44
6900000,7.57, 339552,415500,5
7000000,7.82, 357620,431888,5
7100000,7.89, 344584,403100,5
7200000,8.18, 334260,390448,5
7300000,8.27, 367292,421024,5
7400000,8.52, 369952,426060,5
7500000,8.37, 379360,427660,5
7600000,8.33, 383920,429912,5
7700000,9.17, 363652,426636,5
7800000,9.02, 353480,410320,5
7900000,9.16, 360908,402148,5
8000000,9.25, 348448,387276,44
8100000,9.21, 359696,406944,5
8200000,9.02, 375444,415524,44
8300000,8.8, 370032,408720,5
8400000,9.05, 382968,420008,5
8500000,9.13, 393096,444216,5
8600000,9.64, 384980,415080,1
8700000,9.53, 394612,439532,5
8800000,9.69, 380144,470920,5
8900000,9.38, 411920,445064,44
9000000,9.86, 421128,508636,44
9100000,10.05, 385984,416516,44
9200000,9.9, 383996,416400,5
9300000,10.08, 423576,509716,44
9400000,10.19, 426324,509260,44
9500000,10.18, 427772,511392,44
9600000,10.55, 413428,496984,5
9700000,10.3, 412148,495868,5
9800000,10.7, 411116,489240,44
9900000,10.76, 424424,508884,5
10000000,11.02, 425620,510544,44
