size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,1.85, 13828,106836,9
200000,1.89, 13812,106956,9
300000,2, 13840,107072,5
400000,1.88, 14052,106956,5
500000,1.83, 13956,106936,9
600000,1.68, 14084,106952,9
700000,1.63, 13816,106964,9
800000,1.64, 13872,106940,9
900000,1.95, 13972,107064,5
1000000,1.78, 13868,106948,9
1100000,1.73, 14036,107076,9
1200000,1.82, 13960,107068,5
1300000,1.99, 13784,107080,5
1400000,1.65, 13932,107096,5
1500000,1.7, 14012,107120,5
1600000,1.8, 13916,107040,9
1700000,1.56, 13860,107068,5
1800000,1.44, 14156,106944,9
1900000,1.49, 13988,106944,9
2000000,1.52, 14040,107064,9
2100000,1.66, 13984,107108,9
2200000,1.45, 14052,107100,5
2300000,1.57, 13920,106960,9
2400000,1.61, 14000,107216,9
2500000,1.48, 14136,107096,9
2600000,1.53, 14196,107072,9
2700000,1.43, 13988,107084,9
2800000,1.5, 13976,106972,9
2900000,1.53, 13996,107092,9
3000000,1.45, 14128,107088,5
3100000,1.51, 14036,107240,9
3200000,1.62, 14216,107200,5
3300000,1.56, 14048,107200,5
3400000,1.48, 14188,107100,9
3500000,1.81, 14024,107100,9
3600000,1.8, 14188,107108,9
3700000,1.79, 14068,107080,9
3800000,1.84, 14164,107060,9
3900000,1.88, 14156,107208,5
4000000,1.99, 14160,107072,9
4100000,1.78, 14132,107220,9
4200000,1.98, 14184,107228,5
4300000,1.84, 14112,107092,9
4400000,1.86, 14208,107112,9
4500000,1.69, 14128,107100,9
4600000,1.83, 14208,107224,9
4700000,2.18, 14128,107260,9
4800000,1.68, 14104,107124,9
4900000,1.65, 14308,107100,9
5000000,1.7, 14228,107220,9
5100000,1.75, 14112,107228,9
5200000,1.74, 14168,107228,5
5300000,1.74, 14268,107224,9
5400000,1.83, 14072,107376,5
5500000,1.73, 14184,107224,9
5600000,1.8, 14316,107256,9
5700000,1.76, 14320,107372,5
5800000,1.79, 14132,107368,5
5900000,1.69, 14284,107356,9
6000000,1.97, 14192,107372,9
6100000,1.75, 14420,107368,9
6200000,1.66, 14236,107212,9
6300000,1.75, 14192,107404,5
6400000,1.73, 14308,107392,9
6500000,1.73, 14200,107268,9
6600000,1.68, 14280,107380,9
6700000,1.71, 14336,107244,9
6800000,1.8, 14224,107388,5
6900000,1.69, 14500,107388,9
7000000,1.74, 14236,107256,9
7100000,1.81, 14240,107260,9
7200000,1.73, 14112,107264,5
7300000,1.73, 15988,107384,9
7400000,1.62, 14284,107496,5
7500000,1.67, 14368,107260,9
7600000,1.63, 14360,107256,9
7700000,1.61, 14408,107384,9
7800000,1.72, 14400,107420,5
7900000,1.56, 14288,107392,9
8000000,1.79, 14416,107564,5
8100000,1.6, 14424,107408,9
8200000,1.71, 14352,107412,9
8300000,1.58, 14284,107408,9
8400000,1.56, 14556,107520,5
8500000,1.65, 14320,107540,5
8600000,1.56, 14500,107520,9
8700000,1.48, 14388,107536,9
8800000,1.74, 14344,107560,5
8900000,1.56, 14512,107548,9
9000000,2, 14328,107540,9
9100000,1.75, 14644,107560,5
9200000,1.71, 14240,107388,9
9300000,1.68, 14540,107540,5
9400000,1.8, 14324,107424,5
9500000,1.63, 14496,107408,9
9600000,1.92, 14404,107416,9
9700000,1.81, 14624,107416,5
9800000,1.77, 14416,107676,5
9900000,1.8, 14468,107408,9
10000000,1.87, 14420,107572,5
