size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,1.01, 17548,110568,9
200000,0.94, 17584,110572,5
300000,0.91, 17448,110568,9
400000,0.93, 17552,110568,9
500000,0.93, 17608,110708,5
600000,0.93, 17584,110568,5
700000,0.92, 17616,110584,9
800000,0.99, 17708,110580,5
900000,0.94, 17784,110704,5
1000000,0.93, 17600,110704,5
1100000,0.93, 17792,110700,9
1200000,0.91, 17808,110836,5
1300000,1.03, 17800,110700,5
1400000,0.97, 17588,110836,9
1500000,0.94, 17708,110700,5
1600000,0.91, 17712,110836,9
1700000,0.97, 17704,110700,5
1800000,0.93, 17740,110836,9
1900000,1, 17740,110700,9
2000000,0.93, 17748,110836,9
2100000,0.92, 17860,110836,9
2200000,0.93, 17848,110836,5
2300000,0.93, 17584,110704,5
2400000,1.04, 17864,110708,9
2500000,1.05, 17652,110852,5
2600000,0.91, 17764,110860,5
2700000,0.96, 17900,110732,5
2800000,0.95, 17664,110852,5
2900000,0.97, 17652,110864,5
3000000,0.89, 17632,110860,5
3100000,0.96, 17820,110860,5
3200000,0.92, 17712,110712,5
3300000,0.95, 17756,110728,5
3400000,0.96, 17776,110968,5
3500000,0.97, 17932,110832,9
3600000,0.97, 17780,110832,9
3700000,1.09, 17736,110836,5
3800000,0.93, 17772,110836,5
3900000,0.94, 17728,110836,5
4000000,1.07, 17800,110840,5
4100000,1.05, 17752,110840,5
4200000,1, 17868,110840,5
4300000,0.92, 17768,110840,9
4400000,1.05, 17820,110844,9
4500000,0.97, 17880,110848,5
4600000,0.94, 17792,110856,5
4700000,0.93, 17908,110864,9
4800000,0.92, 18020,110872,9
4900000,1.06, 17836,111008,5
5000000,0.99, 17964,110876,9
5100000,1.03, 17884,110872,5
5200000,0.93, 17924,110864,5
5300000,0.95, 17860,110860,9
5400000,0.98, 17932,110860,5
5500000,0.97, 17872,110868,5
5600000,1.01, 18072,110856,5
5700000,0.96, 17848,110856,5
5800000,1.08, 17968,110996,5
5900000,1.04, 18076,110860,5
6000000,1.04, 17872,110992,5
6100000,0.99, 17908,111132,5
6200000,0.94, 17888,110996,5
6300000,0.91, 17808,110996,5
6400000,0.97, 17988,110996,5
6500000,0.92, 17888,111136,5
6600000,0.97, 17972,111000,9
6700000,0.95, 17956,111000,9
6800000,0.97, 18020,111004,5
6900000,0.94, 18056,111144,5
7000000,1.04, 18028,111012,9
7100000,0.92, 17976,111020,5
7200000,0.99, 17976,111028,9
7300000,1.09, 18072,111036,5
7400000,0.93, 18044,111036,9
7500000,0.9, 18020,111048,9
7600000,0.91, 18196,111056,9
7700000,0.93, 18032,111056,5
7800000,0.93, 17980,111032,5
7900000,0.94, 18048,111164,5
8000000,0.95, 18152,111024,9
8100000,0.99, 18024,111040,9
8200000,0.95, 18060,111032,5
8300000,0.89, 18076,111020,5
8400000,1.01, 18012,111020,5
8500000,1.03, 18076,111024,5
8600000,0.93, 18084,111024,5
8700000,0.9, 18264,111292,9
8800000,0.99, 18100,111156,5
8900000,0.98, 18052,111160,5
9000000,0.97, 18056,111160,5
9100000,1, 18056,111296,5
9200000,1.04, 18164,111164,5
9300000,0.97, 18172,111164,5
9400000,0.98, 18012,111172,5
9500000,0.96, 18300,111176,9
9600000,0.94, 18316,111188,5
9700000,1.04, 18208,111192,9
9800000,0.91, 18328,111204,5
9900000,0.96, 18216,111208,5
10000000,1.09, 18216,111212,9
