size (record), time (s), rss (kB), vsize (kB), disk (kB)
10000000,1.45, 7208,510112,5
20000000,1.41, 8224,420020,9
30000000,1.5, 7204,551092,9
40000000,1.56, 7060,370844,9
50000000,1.53, 7204,485556,9
60000000,1.33, 7180,485556,9
70000000,1.46, 8016,575648,5
80000000,1.72, 7196,616628,5
90000000,1.57, 7208,551092,9
100000000,1.63, 7288,616628,5
110000000,1.71, 7260,485556,5
120000000,1.5, 7152,616636,5
130000000,1.68, 7148,551100,5
140000000,1.51, 7312,616628,9
150000000,1.59, 7240,551092,5
160000000,1.57, 7184,501924,9
170000000,1.44, 7312,616628,9
180000000,1.51, 7100,485556,5
190000000,1.44, 7072,485556,9
200000000,1.31, 7368,485556,9
210000000,1.57, 7412,551092,5
220000000,1.47, 7296,616628,9
230000000,1.63, 7228,436380,9
240000000,1.77, 7288,551092,5
250000000,1.5, 8084,354484,9
260000000,1.84, 7296,616628,5
270000000,1.56, 7292,616628,9
280000000,1.67, 7368,485556,9
290000000,1.59, 7376,444584,9
300000000,1.64, 7064,485556,5
310000000,1.72, 10036,420020,9
320000000,1.64, 8276,510112,9
330000000,1.81, 7240,551100,5
340000000,1.55, 7400,420020,5
350000000,1.64, 7136,510120,9
360000000,1.72, 8108,444576,9
370000000,1.85, 7252,485564,5
380000000,1.69, 8100,485564,9
390000000,1.59, 7168,354484,5
400000000,1.6, 8192,551100,9
410000000,1.83, 7384,501916,5
420000000,1.57, 7148,485564,9
430000000,1.6, 7228,420020,9
440000000,1.64, 8120,444576,9
450000000,1.48, 7200,485564,9
460000000,1.79, 7192,551100,9
470000000,1.62, 7128,485564,9
480000000,1.53, 7168,501916,9
490000000,1.65, 8048,510112,5
500000000,1.45, 7372,485556,9
