size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,0.83, 6560,99480,5
200000,0.78, 6600,99480,9
300000,0.83, 6344,99488,5
400000,0.82, 6496,99480,5
500000,0.86, 6424,99484,9
600000,0.78, 6528,99492,9
700000,0.79, 6412,99480,9
800000,0.87, 6576,99480,9
900000,0.82, 6424,99560,9
1000000,0.77, 6524,99564,9
1100000,0.79, 6496,99612,5
1200000,0.77, 6436,99576,9
1300000,0.77, 6448,99584,9
1400000,0.76, 6544,99592,9
1500000,0.85, 6584,99576,9
1600000,0.81, 6520,99580,5
1700000,0.78, 6528,99584,5
1800000,0.8, 6580,99592,9
1900000,0.79, 6668,99600,9
2000000,0.88, 6668,99604,5
2100000,0.88, 6552,99608,5
2200000,0.77, 6688,99612,9
2300000,0.84, 6676,99612,5
2400000,0.79, 6640,99612,5
2500000,0.77, 6644,99620,9
2600000,0.8, 6460,99624,5
2700000,0.76, 6596,99628,5
2800000,0.78, 6692,99624,9
2900000,0.77, 6712,99632,9
3000000,0.85, 6672,99636,5
3100000,0.88, 6780,99624,5
3200000,0.82, 6624,99624,5
3300000,0.86, 6796,99704,9
3400000,0.78, 6696,99708,9
3500000,0.75, 6740,99744,9
3600000,0.85, 6648,99748,5
3700000,0.79, 6812,99748,5
3800000,0.79, 6700,99712,5
3900000,0.75, 6704,99720,9
4000000,0.76, 6668,99728,5
4100000,0.86, 6612,99732,5
4200000,0.81, 6780,99736,5
4300000,0.81, 6688,99744,5
4400000,0.83, 6820,99748,9
4500000,1, 6760,99756,5
4600000,0.83, 6808,99760,9
4700000,0.83, 6708,99756,9
4800000,0.8, 6820,99760,9
4900000,0.8, 6744,99760,9
5000000,0.82, 6668,99772,5
5100000,0.77, 6896,99764,5
5200000,0.77, 6860,99768,5
5300000,0.79, 6860,99776,9
5400000,0.82, 6752,99768,5
5500000,0.82, 6804,99768,5
5600000,0.81, 6764,99768,5
5700000,0.85, 6876,99904,5
5800000,0.77, 6904,99856,9
5900000,0.76, 6884,99904,5
6000000,0.77, 6856,99868,9
6100000,0.78, 6840,99908,9
6200000,0.87, 6672,99908,5
6300000,0.77, 6680,99908,5
6400000,0.81, 6876,99872,9
6500000,0.85, 6928,99876,5
6600000,0.81, 6936,99880,9
6700000,0.86, 6996,99892,5
6800000,0.84, 6908,99896,5
6900000,0.89, 6840,99900,5
7000000,0.95, 6964,99908,5
7100000,0.91, 6732,99916,5
7200000,0.8, 6972,99920,9
7300000,0.83, 6968,99920,5
7400000,0.82, 6944,99920,5
7500000,0.83, 6924,99924,5
7600000,0.77, 6992,99928,5
7700000,0.79, 6896,99936,9
7800000,0.77, 6940,99928,9
7900000,0.78, 6948,99932,5
8000000,0.81, 7072,99940,9
8100000,0.81, 6964,99932,5
8200000,0.91, 6992,99932,5
8300000,0.89, 6936,100064,5
8400000,0.81, 6816,100060,9
8500000,0.87, 7008,100068,9
8600000,0.87, 6988,100068,5
8700000,0.81, 7060,100032,9
8800000,0.83, 6964,100072,5
8900000,0.76, 7032,100044,5
9000000,0.81, 6976,100072,5
9100000,0.79, 7048,100036,9
9200000,0.82, 6988,100040,5
9300000,0.82, 6992,100048,5
9400000,0.86, 7056,100052,5
9500000,0.8, 7048,100060,5
9600000,0.83, 7012,100064,9
9700000,0.82, 6888,100072,9
9800000,0.81, 7024,100080,5
9900000,0.8, 7184,100084,5
10000000,0.81, 6616,100084,9
