size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,2.05, 15416,108468,5
200000,2.07, 15432,108616,5
300000,2.07, 15352,108484,9
400000,2.18, 15416,108480,5
500000,1.88, 15444,108484,5
600000,1.76, 15408,108496,5
700000,1.8, 15668,108616,5
800000,1.85, 15320,108608,5
900000,1.71, 15592,108456,5
1000000,1.77, 15588,108592,5
1100000,1.74, 15544,108456,5
1200000,1.71, 15528,108632,5
1300000,1.88, 15448,108464,5
1400000,1.6, 15492,108724,9
1500000,1.69, 15624,108472,5
1600000,1.7, 15408,108608,5
1700000,1.61, 15464,108620,5
1800000,1.77, 15488,108616,5
1900000,1.78, 15544,108604,9
2000000,2.24, 15524,108628,5
2100000,3.48, 15624,108616,5
2200000,3.37, 15612,108732,5
2300000,3.17, 15536,108592,9
2400000,1.76, 15616,108744,5
2500000,1.79, 15572,108756,5
2600000,1.62, 15556,108620,9
2700000,1.78, 15704,108632,5
2800000,1.74, 15556,108628,5
2900000,1.83, 15656,108640,9
3000000,1.78, 15640,108624,9
3100000,1.91, 15792,108772,5
3200000,1.76, 15732,108600,5
3300000,1.81, 15676,108596,5
3400000,1.9, 15704,108588,5
3500000,2.32, 15704,108600,9
3600000,2.17, 15552,108604,9
3700000,2.3, 15564,108592,5
3800000,1.92, 15656,108608,9
3900000,2.16, 15820,108596,5
4000000,1.91, 15608,108760,5
4100000,2.08, 15720,108748,9
4200000,2.23, 15584,108760,5
4300000,2.12, 15696,108756,5
4400000,2.13, 15692,108760,5
4500000,2.05, 15680,108876,5
4600000,2.1, 15660,108772,9
4700000,2.17, 15704,108876,5
4800000,2.12, 15664,108764,5
4900000,1.97, 15836,108756,9
5000000,2.09, 15620,108768,9
5100000,2.13, 15724,108776,5
5200000,2, 15720,108776,9
5300000,2.06, 15928,108924,5
5400000,2.12, 15800,108924,5
5500000,2.08, 15828,108788,5
5600000,2.04, 15804,108896,9
5700000,2.15, 15716,108748,5
5800000,2.4, 15644,108916,5
5900000,2.22, 15656,108748,5
6000000,2.18, 15868,108752,5
6100000,1.99, 15740,108896,5
6200000,2.09, 15756,108884,5
6300000,1.99, 15780,108772,5
6400000,1.96, 15696,108904,5
6500000,2.07, 15920,108784,5
6600000,1.84, 15884,108900,5
6700000,1.94, 15952,109044,5
6800000,2.08, 15876,108924,5
6900000,3.73, 15820,108896,5
7000000,4.2, 15956,108928,9
7100000,3.04, 15964,108928,9
7200000,3.39, 15740,108900,9
7300000,2.54, 15980,109052,9
7400000,1.95, 15872,108916,5
7500000,1.99, 15888,108916,9
7600000,2.01, 15672,108912,9
7700000,2.07, 15880,109068,5
7800000,2.12, 15920,108944,5
7900000,1.97, 15956,108944,5
8000000,1.93, 15864,109088,5
8100000,1.77, 16016,108952,9
8200000,1.92, 16028,108952,9
8300000,1.87, 15788,109072,5
8400000,1.84, 15888,109048,5
8500000,1.77, 15920,109052,5
8600000,1.74, 16012,108916,5
8700000,1.79, 16064,108912,5
8800000,1.73, 15964,109056,5
8900000,2.2, 15856,109052,5
9000000,2.38, 15940,108916,5
9100000,2.14, 16036,109060,9
9200000,2.17, 15796,109084,5
9300000,2.37, 15960,109068,9
9400000,2.22, 15908,109056,9
9500000,2.27, 16108,109088,5
9600000,2.37, 16084,109076,5
9700000,2.33, 15956,109076,5
9800000,2.25, 16080,109224,5
9900000,2.57, 16076,109064,5
10000000,2.33, 15976,109216,5
