size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,1.36, 19872,692656,44
200000,1.15, 30760,703612,5
300000,1.31, 41820,714700,44
400000,1.48, 52968,660252,5
500000,1.45, 64268,736744,5
600000,1.69, 75080,747832,44
700000,1.78, 86184,758920,5
800000,1.88, 97112,769876,5
900000,1.9, 108120,780964,1
1000000,2.07, 121284,791920,5
1100000,2.2, 130336,803008,44
1200000,2.26, 155780,814096,5
1300000,3.05, 179920,759516,5
1400000,3.27, 190540,836140,5
1500000,3.08, 204516,781692,5
1600000,3.02, 220864,792648,44
1700000,3.3, 236376,803736,44
1800000,3.14, 243304,814824,5
1900000,3.19, 248700,825780,5
2000000,3.26, 267840,836868,44
2100000,3.39, 272180,913492,5
2200000,3.34, 292204,858912,5
2300000,3.37, 299148,1.00898e+06,44
2400000,3.29, 304904,954528,44
2500000,4.14, 334452,1.0234e+06,5
2600000,4.51, 346400,968952,5
2700000,4.63, 370216,1.11051e+06,5
2800000,4.75, 363004,1.06427e+06,5
2900000,4.66, 386276,952364,5
3000000,4.96, 381764,1.21727e+06,5
3100000,4.8, 388192,1.03177e+06,1
3200000,4.71, 409260,1.10837e+06,44
3300000,4.93, 414244,1.11933e+06,5
3400000,5.05, 442048,1.13861e+06,5
3500000,4.81, 441924,1.08417e+06,5
3600000,5, 451212,1.22619e+06,5
3700000,5.1, 467384,1.16355e+06,5
3800000,4.99, 474476,1.17463e+06,5
3900000,5.48, 478472,1.19379e+06,5
4000000,5.34, 498128,1.19674e+06,5
4100000,6.08, 515600,1.20822e+06,5
4200000,5.91, 527024,1.29254e+06,5
4300000,6.31, 544600,1.4188e+06,5
4400000,6.13, 565284,1.17548e+06,5
4500000,6.19, 571256,1.44084e+06,5
4600000,6.53, 592272,1.45193e+06,5
4700000,6.26, 586156,1.46289e+06,5
4800000,6.2, 614872,1.47398e+06,5
4900000,6.7, 629716,1.48506e+06,5
5000000,6.47, 628752,1.51191e+06,44
