size (record), time (s), rss (kB), vsize (kB), disk (kB)
10000000,2.2, 119552,770232,9
20000000,2.17, 119556,772192,9
30000000,1.97, 119500,772196,9
40000000,1.99, 119584,772204,9
50000000,2.06, 119616,772200,9
60000000,2.06, 119456,772208,5
70000000,2.01, 123456,772256,13
80000000,1.99, 119692,772216,13
90000000,2.1, 119640,772220,13
100000000,1.96, 117968,772232,13
110000000,1.96, 117904,772236,13
120000000,2.03, 117944,772240,13
130000000,2.06, 119640,772288,13
140000000,2.06, 117932,772256,17
150000000,1.96, 119680,772256,17
160000000,2.11, 119896,772264,13
170000000,2, 117956,772268,25
180000000,1.98, 119532,772316,25
190000000,1.97, 119536,772320,25
200000000,2.04, 119472,772324,25
210000000,1.96, 119812,772328,25
220000000,2.02, 119908,772336,29
230000000,2.01, 119804,772332,25
240000000,2.17, 119860,772336,29
250000000,1.99, 118124,772332,29
260000000,2.03, 119624,772328,25
270000000,1.96, 118044,772320,25
280000000,1.97, 118032,772336,29
290000000,1.99, 119636,772324,21
300000000,2.04, 117996,772324,29
310000000,2.13, 120088,772332,29
320000000,1.99, 119744,772324,29
330000000,3.33, 118036,772324,29
340000000,3.33, 119956,772332,25
350000000,3.32, 119960,772340,25
360000000,3.41, 119596,772336,25
370000000,3.51, 119900,772336,29
380000000,3.35, 119892,772336,33
390000000,3.4, 118004,772348,29
400000000,3.58, 141364,774292,29
410000000,3.55, 119912,772360,33
420000000,3.54, 119960,772344,29
430000000,3.48, 119872,772356,33
440000000,3.45, 119804,772376,37
450000000,3.45, 120052,772328,37
460000000,3.5, 119920,772368,37
470000000,3.34, 119876,772364,37
480000000,3.64, 118148,772408,33
490000000,3.59, 120096,772348,33
500000000,3.61, 118096,772344,33
