size (record), time (s), rss (kB), vsize (kB), disk (kB)
10000000,2.28, 117948,768280,5
20000000,2.24, 117896,769260,5
30000000,2.11, 117964,769260,9
40000000,2.21, 119716,769264,5
50000000,2.19, 119804,769268,9
60000000,2.39, 119460,769272,9
70000000,2.19, 119512,769324,13
80000000,2.24, 119548,769324,9
90000000,2.21, 118064,769288,13
100000000,2.2, 119564,769336,13
110000000,2.21, 119964,769304,9
120000000,2.16, 119836,769304,9
130000000,2.14, 119556,769348,17
140000000,2.26, 119772,769280,17
150000000,2.2, 118048,769284,17
160000000,2.14, 118060,769364,17
170000000,2.15, 119624,769336,13
180000000,2.08, 119872,769340,21
190000000,2.11, 119544,769388,21
200000000,2.13, 117896,769392,25
210000000,2.33, 118096,769396,25
220000000,2.19, 118040,769400,21
230000000,2.2, 119824,769408,25
240000000,2.21, 119828,769400,29
250000000,2.18, 118020,769412,25
260000000,2.14, 133872,769392,21
270000000,2.38, 134700,769392,25
280000000,2.27, 122024,769400,21
290000000,3.72, 167024,797752,25
300000000,2.2, 131928,769400,25
310000000,3.03, 165160,792924,29
320000000,2.6, 133124,769388,29
330000000,3.73, 140456,771348,29
340000000,3.89, 117944,769404,29
350000000,3.9, 138520,771348,29
360000000,3.95, 136732,771360,29
370000000,3.71, 138428,771356,25
380000000,3.83, 118124,769412,33
390000000,3.91, 118128,769416,29
400000000,3.88, 128552,769404,33
410000000,3.67, 136360,771380,33
420000000,3.71, 134748,765156,33
430000000,3.55, 117900,769424,33
440000000,3.75, 136920,766776,33
450000000,4.74, 149180,785104,37
460000000,3.81, 120080,769432,33
470000000,3.9, 136816,765308,29
480000000,3.98, 136752,768756,37
490000000,3.62, 133292,771360,37
500000000,4, 136468,770116,33
