size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,1.09, 6460,312484,9
200000,1.08, 6352,320680,9
300000,0.99, 6396,320680,9
400000,1.18, 6348,320680,9
500000,0.93, 6416,320680,9
600000,1.03, 6288,320680,5
700000,0.84, 6396,320680,9
800000,1.01, 6352,320680,9
900000,1.1, 6392,320680,5
1000000,1.03, 6460,320680,5
1100000,1.07, 6460,320680,9
1200000,1.18, 6352,320680,9
1300000,1.09, 6388,312484,5
1400000,1.16, 6292,320680,9
1500000,1.17, 6448,320680,5
1600000,1.13, 6420,320680,9
1700000,0.98, 6460,320680,5
1800000,1.28, 6448,320680,5
1900000,1.33, 6288,320680,9
2000000,1.09, 6412,320680,9
2100000,0.94, 6352,320680,9
2200000,0.98, 6288,320680,9
2300000,0.97, 6288,320680,9
2400000,0.91, 6288,320680,9
2500000,1.05, 6288,320680,5
2600000,0.98, 6288,320680,9
2700000,1.01, 6252,312484,9
2800000,0.98, 6284,320680,9
2900000,0.98, 6140,320680,5
3000000,0.97, 6452,320680,9
3100000,0.95, 6396,320680,9
3200000,1.01, 6352,320680,9
3300000,0.94, 6384,320680,9
3400000,1.05, 6448,320680,9
3500000,0.94, 6400,320680,9
3600000,0.92, 6396,320680,5
3700000,1.01, 6448,320680,5
3800000,1.08, 6448,320680,5
3900000,1.07, 6460,312484,5
4000000,0.99, 6288,320680,5
4100000,0.94, 6384,304268,9
4200000,1, 6448,320680,9
4300000,0.98, 6288,320680,5
4400000,0.92, 6396,320680,9
4500000,0.92, 6352,320680,5
4600000,0.92, 6352,320680,9
4700000,0.95, 6416,312484,9
4800000,0.96, 6416,312484,5
4900000,0.98, 6288,312484,5
5000000,1.1, 6160,320680,9
5100000,0.91, 6412,320680,9
5200000,1.18, 6416,320680,9
5300000,0.93, 6392,320680,9
5400000,0.92, 6368,320680,9
5500000,0.98, 6220,320680,5
5600000,1.13, 6448,320680,9
5700000,1.01, 6356,312484,5
5800000,1.16, 6416,320680,5
5900000,0.96, 6400,320680,5
6000000,0.98, 6464,320680,9
6100000,0.98, 6416,312484,5
6200000,1.09, 6392,320680,9
6300000,0.98, 6396,320680,5
6400000,1.01, 6292,320680,5
6500000,0.96, 6292,320680,9
6600000,1.12, 6412,320680,9
6700000,1.04, 6392,320680,5
6800000,1.02, 6396,320680,9
6900000,1.04, 6424,312484,5
7000000,0.99, 6464,320680,9
7100000,0.95, 6392,320680,9
7200000,0.95, 6452,320680,5
7300000,0.96, 6232,320680,5
7400000,0.96, 6292,320680,5
7500000,0.97, 6164,320680,9
7600000,0.91, 6416,312484,9
7700000,0.91, 6224,320680,9
7800000,0.93, 6292,320680,9
7900000,0.96, 6464,320680,9
8000000,1.05, 6180,320680,5
8100000,0.94, 6416,312484,9
8200000,0.94, 6400,320680,9
8300000,0.94, 6164,320680,9
8400000,0.94, 6292,320680,9
8500000,0.95, 6392,320680,9
8600000,0.97, 6420,320680,9
8700000,0.94, 6356,320680,9
8800000,0.94, 6292,320680,9
8900000,0.94, 6164,320680,5
9000000,0.92, 6292,320680,9
9100000,0.95, 6228,312484,5
9200000,0.93, 6412,320680,9
9300000,1.07, 6420,320680,9
9400000,0.92, 6420,320680,5
9500000,0.95, 6360,320680,9
9600000,0.87, 6460,320680,5
9700000,0.84, 6416,320680,9
9800000,0.91, 6452,320680,5
9900000,0.88, 6168,320680,9
10000000,0.92, 6456,320680,9
