size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,0.63, 10800,681728,9
200000,0.6, 8724,616200,5
300000,0.57, 8612,681740,5
400000,0.62, 8912,681708,9
500000,0.61, 11000,681708,5
600000,0.57, 8772,747244,9
700000,0.61, 10968,747244,9
800000,0.57, 8700,616172,9
900000,0.54, 8728,681840,5
1000000,0.63, 10820,812916,5
1100000,0.6, 8820,747384,5
1200000,0.62, 8864,681844,9
1300000,0.61, 8872,747380,5
1400000,0.61, 8912,681840,5
1500000,0.62, 10824,747380,5
1600000,0.6, 8728,747376,5
1700000,0.56, 10832,812916,5
1800000,0.61, 8712,747388,5
1900000,0.62, 8856,681840,5
2000000,0.6, 9124,747380,5
2100000,0.61, 8964,747384,5
2200000,0.61, 9164,812924,5
2300000,0.59, 25252,886500,5
2400000,0.75, 25924,887192,9
2500000,0.6, 26168,690888,5
2600000,0.6, 28356,822308,9
2700000,0.78, 30712,822652,9
2800000,0.6, 29012,888528,9
2900000,0.78, 27352,954412,5
3000000,0.79, 27856,823688,9
3100000,0.61, 30056,897772,5
3200000,0.62, 28116,955456,9
3300000,0.64, 30880,955804,9
3400000,0.63, 29084,890720,9
3500000,0.79, 33424,833728,9
3600000,0.61, 31812,891392,9
3700000,0.77, 30048,891744,5
3800000,0.59, 30520,957624,5
3900000,0.81, 32852,957964,5
4000000,0.75, 35144,827236,5
4100000,0.75, 25684,819376,5
4200000,0.78, 34096,967184,9
4300000,0.78, 33548,827876,5
4400000,0.77, 34504,959684,5
4500000,0.8, 36732,894216,5
4600000,0.77, 35260,894856,5
4700000,0.8, 33868,895316,5
4800000,0.79, 34160,961200,9
4900000,0.77, 34484,969740,5
5000000,0.8, 34816,961872,5
