size (record), time (s), rss (kB), vsize (kB), disk (kB)
100000,0.65, 18176,700692,5
200000,0.68, 18188,700692,9
300000,0.71, 18152,700692,5
400000,0.69, 18052,700692,9
500000,0.68, 18144,700692,5
600000,0.69, 18160,700692,5
700000,0.69, 18080,635156,5
800000,0.69, 18156,700692,5
900000,0.71, 18052,700692,5
1000000,0.66, 18212,700692,5
1100000,0.69, 18136,700692,5
1200000,0.69, 18116,700692,9
1300000,0.71, 18144,700692,5
1400000,0.68, 18176,635156,5
1500000,0.7, 18124,700692,5
1600000,0.68, 18156,700692,9
1700000,0.71, 18192,700692,9
1800000,0.7, 18212,700692,5
1900000,0.69, 18176,700692,9
2000000,0.69, 18052,700692,5
2100000,0.68, 18116,700692,9
2200000,0.68, 18052,700692,5
2300000,0.7, 18108,700868,5
2400000,0.71, 18376,700960,9
2500000,0.7, 18416,701056,5
2600000,0.7, 18360,701056,9
2700000,0.7, 18328,635436,9
2800000,0.71, 18344,701056,5
2900000,0.7, 18492,701056,9
3000000,0.71, 18372,701056,5
3100000,0.7, 18280,635520,5
3200000,0.71, 18260,701056,5
3300000,0.7, 18356,701056,9
3400000,0.69, 18392,701056,9
3500000,0.71, 18396,701056,9
3600000,0.71, 18396,701056,9
3700000,0.72, 18416,701056,9
3800000,0.71, 18280,701056,5
3900000,0.72, 18368,701056,5
4000000,0.71, 18412,701056,9
4100000,0.71, 18464,701056,9
4200000,0.7, 18412,701056,9
4300000,0.7, 18488,701056,9
4400000,0.71, 18260,701056,9
4500000,0.71, 18472,701064,5
4600000,0.7, 18200,700892,5
4700000,0.7, 18384,701028,9
4800000,0.68, 18440,701064,9
4900000,0.72, 18444,701064,5
5000000,0.67, 18496,701064,9
5100000,0.71, 18500,701064,5
5200000,0.72, 18376,701064,9
5300000,0.75, 18268,701064,9
5400000,0.69, 18416,701064,5
5500000,0.71, 18372,701064,9
5600000,0.71, 18460,701064,5
5700000,0.71, 18404,701064,5
5800000,0.7, 18368,635528,5
5900000,0.7, 18384,701064,5
6000000,0.7, 18456,701064,9
6100000,0.7, 18288,701064,9
6200000,0.71, 18424,701064,9
6300000,0.71, 18476,701064,5
6400000,0.71, 18476,701064,9
6500000,0.72, 18368,701064,5
6600000,0.72, 18400,635528,5
6700000,0.71, 18376,635528,9
6800000,0.73, 18224,635316,9
6900000,0.71, 18188,700852,9
7000000,0.73, 18424,701068,9
7100000,0.72, 18404,701068,5
7200000,0.69, 18392,701068,5
7300000,0.7, 18224,701068,5
7400000,0.73, 18412,701068,9
7500000,0.72, 18276,701068,5
7600000,0.68, 18432,701068,9
7700000,0.73, 18480,701068,5
7800000,0.7, 18500,701068,9
7900000,0.7, 18368,701068,5
8000000,0.73, 18292,701068,9
8100000,0.71, 18428,701068,5
8200000,0.72, 18432,701068,9
8300000,0.74, 18396,701068,5
8400000,0.71, 18380,701068,5
8500000,0.71, 18360,701068,9
8600000,0.72, 18356,701068,9
8700000,0.71, 18504,701068,5
8800000,0.69, 18272,701068,9
8900000,0.7, 18420,701068,5
9000000,0.73, 18348,701068,9
9100000,0.73, 18168,700708,9
9200000,0.72, 18368,701068,9
9300000,0.73, 18380,701068,5
9400000,0.71, 18496,701068,9
9500000,0.7, 18404,700996,9
9600000,0.7, 18376,701068,5
9700000,0.72, 18424,701068,9
9800000,0.73, 18420,701068,9
9900000,0.71, 18200,701068,5
10000000,0.72, 18476,701068,9
