,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
2000,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912,10912
4000,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884
6000,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984,12984
8000,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028
10000,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720,14720
12000,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804,15804
14000,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692,16692
16000,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512
18000,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652,18652
20000,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596,19596
