m|k - time (s),100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
2000,1.11,1.23,1.78,2.32,3.72,5.29,5.65,6.67,7.44,8.1,9.49,11.16,10.96,11.64,13.18,13.33,14.07,15.88,15.7,15.79,16.76,19.04,18.15,19.6,19.64,20.65,20.97,22.6,21.83,22.41,22.41,23.53,24.36,25.44,24.37,25.64,25.46,26.25,25.48,26.71,22.45,21.94,22.46,23.01,30.29,29.42,30.49,31.41,32.15,32
4000,0.82,1.58,2.42,3.06,4.11,5.12,5.74,6.58,4.99,8.83,10.18,10.54,10.79,12.34,13.24,13.94,11.23,11.17,11.96,16.51,17.47,17.32,19.29,19.79,20.38,20.96,20.59,21.97,21.93,22.38,22.9,23.56,20.3,24.71,26.08,25.6,25.88,21.11,21.68,22.08,22.5,22.4,28.46,28.7,30.71,30.07,31.27,30.98,33.62,32.73
6000,0.64,1.25,1.73,2.26,2.85,3.42,4,4.59,5.29,2.95,0.13,10.28,10.52,8.13,8.8,9.55,9.97,10.59,11.26,11.89,12.56,13.01,13.66,14.29,14.76,15.43,16.01,16.69,17.25,17.49,17.75,18.31,18.59,18.77,19.29,19.59,19.76,19.99,20.36,21.18,21.13,21.23,22.44,22.42,23.06,23.29,23.97,30.88,24.28,24.21
8000,0.77,1.21,1.73,2.28,2.89,3.42,4,4.72,5.15,2.95,0.13,10.3,9.88,8.13,9.02,9.43,9.97,10.69,11.17,11.82,12.51,13.03,13.64,14.22,14.77,15.38,15.98,16.65,17.15,17.59,18.02,18.27,18.56,18.77,19.18,19.51,19.65,20.1,20.43,21.02,21.19,21.41,22.36,22.53,22.88,23.43,23.78,23.79,24.33,24.28
10000,0.66,1.19,1.74,2.27,2.85,3.42,4.01,4.6,5.25,2.95,0.13,0.2,6.43,8.14,8.81,9.48,9.99,10.57,11.24,12.04,12.34,13,13.72,14.23,14.85,15.55,16.16,16.61,17.26,17.51,17.75,18.29,18.49,18.72,19.06,19.61,19.74,19.95,20.4,21.2,21.15,21.37,22.36,22.46,23.04,23.42,23.78,23.8,24.29,24.3
12000,0.65,1.17,1.74,2.26,2.85,3.43,4.12,4.61,5.16,2.95,0.14,0.19,6.38,8.19,8.87,9.43,10.06,10.65,11.22,12.23,12.31,13.24,13.79,14.23,14.84,15.35,16.06,16.76,17.17,17.6,17.74,18.18,18.6,18.76,19.15,19.5,19.75,19.98,20.31,21.12,21.23,21.25,22.47,22.44,22.92,23.26,23.88,23.79,24.37,24.17
14000,0.66,1.18,1.88,2.28,2.86,3.48,4.2,4.59,5.15,2.95,0.18,0.21,6.5,8.18,8.8,9.43,10.11,10.56,11.18,11.93,12.26,13.13,13.6,14.22,14.76,15.32,15.96,16.64,17.24,17.57,17.68,18.34,18.52,18.77,19.02,19.53,19.8,19.99,20.34,21.09,21.14,21.28,22.8,22.43,22.92,23.26,23.85,24,24.43,24.21
16000,0.7,1.18,1.73,2.27,2.86,3.43,4.01,4.6,5.22,2.95,0.13,0.23,6.43,8.14,8.8,9.55,10,10.57,11.32,11.92,12.3,13.16,13.59,14.23,14.78,15.37,15.95,16.61,17.13,17.62,17.69,18.6,18.5,18.76,19.14,19.53,19.91,19.94,20.37,21.17,21.24,21.24,22.68,22.61,23.2,23.28,24.08,23.87,24.57,24.23
18000,0.74,1.19,1.85,2.28,2.85,3.44,4.03,4.6,5.16,2.95,0.14,0.18,6.47,8.15,8.8,9.43,10.15,10.57,11.19,11.9,12.24,13.14,13.63,14.2,14.75,15.35,16.01,16.65,17.19,17.71,17.7,18.8,18.67,18.85,19.19,19.5,19.8,19.95,20.29,21.39,21.27,21.44,22.93,22.64,23.31,23.71,24.15,24.16,24.63,24.21
