m|n - time (s),505000,510000,515000,520000,525000,530000,535000,540000,545000,550000,555000,560000,565000,570000,575000,580000,585000,590000,595000,600000,605000,610000,615000,620000,625000,630000,635000,640000,645000,650000,655000,660000,665000,670000,675000,680000,685000,690000,695000,700000,705000,710000,715000,720000,725000,730000,735000,740000,745000,750000
2000,10,9.85,10.05,10.18,10.16,11.6,12.98,10.2,10.87,10.23,10.55,10.27,10.48,13.6,10.86,10.74,10.89,11.11,11.15,11.77,11.49,11.58,11.82,11.68,12.07,12.05,12.15,12.19,12.15,12.4,12.87,12.48,12.49,12.6,12.72,12.73,12.82,12.84,13.04,17.44,13.26,13.16,13.16,17.86,13.46,18.31,13.73,13.89,14.07,13.98
4000,8.57,9.05,9.19,9.52,9.4,9.65,9.83,9.82,9.25,9.07,10.05,10.35,10.3,10.37,10.55,10.56,10.66,10.86,11.05,10.98,11.27,11.19,11.41,11.42,11.54,11.54,11.73,11.85,11.91,11.88,12.18,16.62,12.33,12.47,12.43,12.62,12.64,12.75,12.84,13.11,13.07,13.43,13.29,13.41,15.24,14.19,13.85,14.28,15.16,16.4
6000,10.6,10.82,10.93,10.72,11,10.78,11.16,10.13,10.06,10.36,10.26,10.29,11.09,10.47,10.79,10.93,11.16,11.79,11.27,11.41,11.7,11.87,11.88,11.57,11.61,11.87,12.02,12.25,12.07,12.67,12.69,12.62,12.44,12.49,12.7,13.09,12.89,13.54,13.13,13.49,13.45,13.6,13.36,13.47,13.57,13.85,14.14,13.9,13.92,14.32
8000,12.5,10.15,10.13,9.43,9.62,11.27,10.82,10.67,9.86,10.4,10.37,10.48,10.77,10.88,11.27,11.1,11.01,11.32,11.24,11.36,11.42,11.5,15.42,11.78,12.16,11.91,11.96,13.64,13.57,13.75,13.1,13.5,13.02,12.99,13.26,13.73,14.01,13.54,13.77,13.88,13.64,17.42,14,13.85,13.85,18.65,14.6,14.11,14.42,14.27
10000,9.47,9.55,9.71,9.72,12.75,9.94,10.51,10.14,10.19,10.36,10.55,10.88,10.33,11.01,14.71,11.03,11.49,11.18,11.27,11.46,11.35,15.39,11.74,11.79,11.89,15.71,11.99,12.3,12.02,15.21,12.83,12.59,12.31,12.25,12.45,12.61,12.7,12.49,12.66,12.8,12.87,12.92,12.99,13.09,13.23,13.41,13.64,13.55,13.73,13.76
12000,9.3,9.16,9.28,9.34,9.58,9.51,9.72,9.76,9.92,9.91,10.01,10.1,10.16,10.31,10.46,10.5,10.57,10.83,10.75,10.92,11.07,11.11,11.29,11.26,11.37,11.51,11.46,11.53,11.73,11.79,11.84,5.69,11.98,11.4,12.24,12.33,12.54,12.43,12.59,18.16,12.86,12.95,12.88,13.16,13.19,13.16,13.33,13.39,13.62,13.89
14000,9.1,9.07,9.21,9.37,9.52,9.65,9.72,9.75,9.89,9.87,10.12,10.15,10.18,10.35,10.35,10.47,10.57,10.75,10.85,10.97,11.04,11.07,11.17,11.2,11.22,15.89,11.39,11.52,11.68,11.66,11.76,5.54,11.8,11.3,12.15,12.22,12.41,16.72,12.9,12.83,12.71,12.91,12.9,13,13.13,13.2,13.31,13.44,13.52,13.59
16000,9.06,9.14,9.22,9.52,9.44,9.44,9.62,9.66,9.84,9.82,9.97,10.14,10.09,10.24,10.38,10.4,10.46,10.74,10.67,10.85,10.98,10.39,10.88,11.23,11.18,11.39,11.41,11.49,11.7,11.76,11.77,5.51,11.79,11.3,12.18,16.65,12.4,12.42,12.48,12.66,12.72,12.99,12.93,17.62,13.11,13.23,13.29,13.39,13.54,18.25
18000,9.06,9.14,9.23,9.27,9.49,9.47,9.59,9.89,9.88,9.85,9.98,10.11,10.15,10.18,10.4,10.39,10.5,10.71,10.7,10.81,11,10.38,10.94,11.23,11.25,11.41,11.44,11.51,11.65,11.74,11.78,5.54,11.86,11.3,12.25,12.23,12.41,12.41,12.63,13.1,12.94,12.86,12.98,13.02,13.17,13.19,13.37,13.39,13.65,9.82
