m|k - RSS (KB),10000000,20000000,30000000,40000000,50000000,60000000,70000000,80000000,90000000,100000000,110000000,120000000,130000000,140000000,150000000,160000000,170000000,180000000,190000000,200000000,210000000,220000000,230000000,240000000,250000000,260000000,270000000,280000000,290000000,300000000,310000000,320000000,330000000,340000000,350000000,360000000,370000000,380000000,390000000,400000000,410000000,420000000,430000000,440000000,450000000,460000000,470000000,480000000,490000000,500000000
2000, 16172, 28492, 52956, 52972, 53100, 102220, 102160, 102096, 102176, 102160, 200424, 200524, 200552, 200552, 200400, 200540, 200492, 200460, 200524, 200520, 397096, 397004, 397032, 397068, 397160, 397032, 397128, 397028, 397068, 397032, 397028, 397096, 397160, 397100, 397032, 397036, 397004, 397032, 397036, 397136, 790244, 790376, 790376, 790228, 790344, 790380, 790376, 790220, 790244, 790240
4000, 18300, 29440, 54016, 53984, 53984, 103200, 103132, 103068, 103164, 103196, 201472, 201500, 201376, 201504, 201468, 201348, 201468, 201372, 201368, 201504, 398048, 398020, 397960, 397976, 397956, 398020, 398080, 398076, 398080, 398112, 398044, 398112, 398016, 398048, 398108, 397984, 398112, 398016, 397980, 398044, 791264, 791328, 791180, 791292, 791296, 791328, 791324, 791260, 791328, 791192
6000, 18108, 30292, 54972, 54936, 54872, 104120, 104092, 104028, 104024, 104064, 202460, 202324, 202328, 202428, 202456, 202392, 202324, 202460, 202328, 202456, 398936, 399064, 398940, 398916, 399004, 399036, 399028, 399004, 398932, 398936, 399004, 398972, 399068, 399064, 399056, 398908, 398944, 398936, 398936, 398880, 792284, 792284, 792256, 792240, 792148, 792280, 792280, 792144, 792220, 792284
8000, 19604, 31476, 55924, 56052, 56056, 105080, 105168, 105204, 105176, 105196, 203476, 203464, 203480, 203380, 203376, 203356, 203364, 203512, 203444, 203448, 400024, 400056, 400116, 400048, 399992, 400108, 399992, 399984, 400092, 399988, 399992, 399988, 400088, 399964, 400028, 400084, 400116, 400056, 400120, 399988, 793324, 793300, 793176, 793304, 793272, 793204, 793336, 793332, 793168, 793240
10000, 19624, 32068, 56584, 56580, 56644, 105796, 105668, 105732, 105768, 105672, 203948, 204076, 203968, 203976, 204036, 204036, 204040, 204100, 204088, 204012, 400668, 400580, 400576, 400560, 400684, 400580, 400556, 400576, 400672, 400712, 400556, 400580, 400584, 400580, 400616, 400684, 400712, 400712, 400684, 400580, 793892, 793860, 793800, 793864, 793796, 793848, 793928, 793860, 793860, 793928
12000, 21444, 32996, 57500, 57504, 57504, 106656, 106788, 106652, 106652, 106660, 205092, 205064, 205092, 205024, 205092, 205088, 205092, 205060, 205000, 205028, 401700, 401672, 401568, 401632, 401632, 401668, 401696, 401568, 401668, 401568, 401700, 401564, 401572, 401596, 401544, 401544, 401636, 401608, 401700, 401572, 794784, 794884, 794760, 794788, 794916, 794848, 794884, 794876, 794884, 794824
14000, 21760, 33852, 58388, 58520, 58364, 107608, 107468, 107636, 107540, 107536, 205972, 205912, 205944, 205880, 205908, 205972, 205908, 205972, 205972, 205840, 402452, 402448, 402552, 402580, 402580, 402452, 402456, 402436, 402580, 402580, 402424, 402584, 402428, 402520, 402580, 402548, 402392, 402548, 402452, 402552, 795772, 795768, 795724, 795764, 795668, 795736, 795668, 795644, 795640, 795792
16000, 22416, 34704, 59372, 59408, 59280, 108436, 108432, 108428, 108428, 108532, 206736, 206804, 206732, 206796, 206800, 206856, 206708, 206736, 206800, 206736, 403380, 403448, 403340, 403444, 403440, 403448, 403468, 403468, 403344, 403476, 403444, 403320, 403340, 403344, 403440, 403412, 403316, 403316, 403460, 403264, 796664, 796508, 796512, 796660, 796664, 796508, 796644, 796484, 796620, 796508
18000, 24056, 35480, 60268, 60268, 60056, 109420, 109352, 109384, 109420, 109416, 207724, 207564, 207656, 207720, 207588, 207696, 207620, 207692, 207584, 207720, 404196, 404156, 404332, 404176, 404176, 404164, 404332, 404332, 404260, 404300, 404292, 404176, 404332, 404328, 404152, 404332, 404152, 404184, 404184, 404196, 797508, 797504, 797396, 797452, 797384, 797404, 797400, 797484, 797484, 797364
20000, 24212, 36528, 61140, 60980, 61076, 110264, 110256, 110152, 110228, 110108, 208528, 208564, 208528, 208592, 208416, 208592, 208452, 208592, 208552, 208592, 405060, 405060, 405172, 405136, 405204, 405164, 405024, 405136, 405200, 405200, 405056, 405020, 405128, 405140, 405044, 405020, 405136, 405064, 405108, 405024, 798420, 798352, 798392, 798268, 798268, 798420, 798240, 798380, 798240, 798420
22000, 25096, 37260, 61900, 61848, 61956, 111088, 111076, 111004, 111076, 110988, 209416, 209268, 209356, 209384, 209300, 209420, 209300, 209448, 209304, 209312, 405912, 405920, 406056, 406012, 405872, 406052, 405900, 406052, 405920, 405992, 406052, 405900, 405960, 406024, 405916, 405912, 406024, 405900, 406028, 405992, 799232, 799232, 799244, 799272, 799124, 799116, 799268, 799208, 799204, 799124
