,10000000,20000000,30000000,40000000,50000000,60000000,70000000,80000000,90000000,100000000,110000000,120000000,130000000,140000000,150000000,160000000,170000000,180000000,190000000,200000000,210000000,220000000,230000000,240000000,250000000,260000000,270000000,280000000,290000000,300000000,310000000,320000000,330000000,340000000,350000000,360000000,370000000,380000000,390000000,400000000,410000000,420000000,430000000,440000000,450000000,460000000,470000000,480000000,490000000,500000000
2000,22432,34720,59296,59296,59296,108448,108448,108448,108448,108448,206752,206752,206752,206752,206752,206752,206752,206752,206752,206752,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,403360,796576,796576,796576,796576,796576,796576,796576,796576,796576,796576
4000,23404,35692,60268,60268,60268,109420,109420,109420,109420,109420,207724,207724,207724,207724,207724,207724,207724,207724,207724,207724,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,404332,797548,797548,797548,797548,797548,797548,797548,797548,797548,797548
6000,24504,36792,61368,61368,61368,110520,110520,110520,110520,110520,208824,208824,208824,208824,208824,208824,208824,208824,208824,208824,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,405432,798648,798648,798648,798648,798648,798648,798648,798648,798648,798648
8000,25548,37836,62412,62412,62412,111564,111564,111564,111564,111564,209868,209868,209868,209868,209868,209868,209868,209868,209868,209868,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,406476,799692,799692,799692,799692,799692,799692,799692,799692,799692,799692
10000,26240,38528,63104,63104,63104,112256,112256,112256,112256,112256,210560,210560,210560,210560,210560,210560,210560,210560,210560,210560,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,407168,800384,800384,800384,800384,800384,800384,800384,800384,800384,800384
12000,27324,39612,64188,64188,64188,113340,113340,113340,113340,113340,211644,211644,211644,211644,211644,211644,211644,211644,211644,211644,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,408252,801468,801468,801468,801468,801468,801468,801468,801468,801468,801468
14000,28212,40500,65076,65076,65076,114228,114228,114228,114228,114228,212532,212532,212532,212532,212532,212532,212532,212532,212532,212532,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,409140,802356,802356,802356,802356,802356,802356,802356,802356,802356,802356
16000,29032,41320,65896,65896,65896,115048,115048,115048,115048,115048,213352,213352,213352,213352,213352,213352,213352,213352,213352,213352,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,409960,803176,803176,803176,803176,803176,803176,803176,803176,803176,803176
18000,30172,42460,67036,67036,67036,116188,116188,116188,116188,116188,214492,214492,214492,214492,214492,214492,214492,214492,214492,214492,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,411100,804316,804316,804316,804316,804316,804316,804316,804316,804316,804316
20000,31116,43404,67980,67980,67980,117132,117132,117132,117132,117132,215436,215436,215436,215436,215436,215436,215436,215436,215436,215436,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,412044,805260,805260,805260,805260,805260,805260,805260,805260,805260,805260
22000,31968,44256,68832,68832,68832,117984,117984,117984,117984,117984,216288,216288,216288,216288,216288,216288,216288,216288,216288,216288,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,412896,806112,806112,806112,806112,806112,806112,806112,806112,806112,806112
24000,32840,45128,69704,69704,69704,118856,118856,118856,118856,118856,217160,217160,217160,217160,217160,217160,217160,217160,217160,217160,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,413768,806984,806984,806984,806984,806984,806984,806984,806984,806984,806984
26000,33724,46012,70588,70588,70588,119740,119740,119740,119740,119740,218044,218044,218044,218044,218044,218044,218044,218044,218044,218044,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,414652,807868,807868,807868,807868,807868,807868,807868,807868,807868,807868
28000,34796,47084,71660,71660,71660,120812,120812,120812,120812,120812,219116,219116,219116,219116,219116,219116,219116,219116,219116,219116,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,415724,808940,808940,808940,808940,808940,808940,808940,808940,808940,808940
30000,35668,47956,72532,72532,72532,121684,121684,121684,121684,121684,219988,219988,219988,219988,219988,219988,219988,219988,219988,219988,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,416596,809812,809812,809812,809812,809812,809812,809812,809812,809812,809812
32000,36536,48824,73400,73400,73400,122552,122552,122552,122552,122552,220856,220856,220856,220856,220856,220856,220856,220856,220856,220856,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,417464,810680,810680,810680,810680,810680,810680,810680,810680,810680,810680
34000,37912,50200,74776,74776,74776,123928,123928,123928,123928,123928,222232,222232,222232,222232,222232,222232,222232,222232,222232,222232,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,418840,812056,812056,812056,812056,812056,812056,812056,812056,812056,812056
36000,38780,51068,75644,75644,75644,124796,124796,124796,124796,124796,223100,223100,223100,223100,223100,223100,223100,223100,223100,223100,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,419708,812924,812924,812924,812924,812924,812924,812924,812924,812924,812924
